Aasta;Maakond;Kuu;Arv
2006;Harju maakond;Jaanuar;143
2006;..Tallinn;Jaanuar;140
2006;Hiiu maakond;Jaanuar;0
2006;Ida-Viru maakond;Jaanuar;59
2006;Jõgeva maakond;Jaanuar;2
2006;Järva maakond;Jaanuar;5
2006;Lääne maakond;Jaanuar;5
2006;Lääne-Viru maakond;Jaanuar;13
2006;Põlva maakond;Jaanuar;0
2006;Pärnu maakond;Jaanuar;20
2006;Rapla maakond;Jaanuar;2
2006;Saare maakond;Jaanuar;3
2006;Tartu maakond;Jaanuar;23
2006;Valga maakond;Jaanuar;2
2006;Viljandi maakond;Jaanuar;8
2006;Võru maakond;Jaanuar;3
2007;Harju maakond;Jaanuar;116
2007;..Tallinn;Jaanuar;113
2007;Hiiu maakond;Jaanuar;0
2007;Ida-Viru maakond;Jaanuar;62
2007;Jõgeva maakond;Jaanuar;0
2007;Järva maakond;Jaanuar;0
2007;Lääne maakond;Jaanuar;2
2007;Lääne-Viru maakond;Jaanuar;12
2007;Põlva maakond;Jaanuar;1
2007;Pärnu maakond;Jaanuar;14
2007;Rapla maakond;Jaanuar;2
2007;Saare maakond;Jaanuar;2
2007;Tartu maakond;Jaanuar;25
2007;Valga maakond;Jaanuar;3
2007;Viljandi maakond;Jaanuar;6
2007;Võru maakond;Jaanuar;1
2008;Harju maakond;Jaanuar;123
2008;..Tallinn;Jaanuar;121
2008;Hiiu maakond;Jaanuar;1
2008;Ida-Viru maakond;Jaanuar;50
2008;Jõgeva maakond;Jaanuar;4
2008;Järva maakond;Jaanuar;2
2008;Lääne maakond;Jaanuar;7
2008;Lääne-Viru maakond;Jaanuar;5
2008;Põlva maakond;Jaanuar;1
2008;Pärnu maakond;Jaanuar;13
2008;Rapla maakond;Jaanuar;5
2008;Saare maakond;Jaanuar;2
2008;Tartu maakond;Jaanuar;22
2008;Valga maakond;Jaanuar;4
2008;Viljandi maakond;Jaanuar;5
2008;Võru maakond;Jaanuar;3
2009;Harju maakond;Jaanuar;137
2009;..Tallinn;Jaanuar;132
2009;Hiiu maakond;Jaanuar;0
2009;Ida-Viru maakond;Jaanuar;41
2009;Jõgeva maakond;Jaanuar;0
