Aasta;Maakond;Kuu;Arv
2014;Põlva maakond;Jaanuar;1
2014;Pärnu maakond;Jaanuar;14
2014;Rapla maakond;Jaanuar;3
2014;Saare maakond;Jaanuar;7
2014;Tartu maakond;Jaanuar;17
2014;Valga maakond;Jaanuar;2
2014;Viljandi maakond;Jaanuar;8
2014;Võru maakond;Jaanuar;5
2015;Harju maakond;Jaanuar;111
2015;..Tallinn;Jaanuar;108
2015;Hiiu maakond;Jaanuar;1
2015;Ida-Viru maakond;Jaanuar;38
2015;Jõgeva maakond;Jaanuar;1
2015;Järva maakond;Jaanuar;3
2015;Lääne maakond;Jaanuar;1
2015;Lääne-Viru maakond;Jaanuar;9
2015;Põlva maakond;Jaanuar;5
2015;Pärnu maakond;Jaanuar;15
2015;Rapla maakond;Jaanuar;4
2015;Saare maakond;Jaanuar;3
2015;Tartu maakond;Jaanuar;18
2015;Valga maakond;Jaanuar;3
2015;Viljandi maakond;Jaanuar;6
2015;Võru maakond;Jaanuar;7
2016;Harju maakond;Jaanuar;152
2016;..Tallinn;Jaanuar;149
2016;Hiiu maakond;Jaanuar;1
2016;Ida-Viru maakond;Jaanuar;43
2016;Jõgeva maakond;Jaanuar;3
2016;Järva maakond;Jaanuar;4
2016;Lääne maakond;Jaanuar;2
2016;Lääne-Viru maakond;Jaanuar;14
2016;Põlva maakond;Jaanuar;2
2016;Pärnu maakond;Jaanuar;17
2016;Rapla maakond;Jaanuar;3
2016;Saare maakond;Jaanuar;1
2016;Tartu maakond;Jaanuar;25
2016;Valga maakond;Jaanuar;2
2016;Viljandi maakond;Jaanuar;11
2016;Võru maakond;Jaanuar;2
2017;Harju maakond;Jaanuar;123
2017;..Tallinn;Jaanuar;120
2017;Hiiu maakond;Jaanuar;1
2017;Ida-Viru maakond;Jaanuar;35
2017;Jõgeva maakond;Jaanuar;1
2017;Järva maakond;Jaanuar;0
2017;Lääne maakond;Jaanuar;5
2017;Lääne-Viru maakond;Jaanuar;10
2017;Põlva maakond;Jaanuar;2
2017;Pärnu maakond;Jaanuar;11
2017;Rapla maakond;Jaanuar;5
2017;Saare maakond;Jaanuar;3
2017;Tartu maakond;Jaanuar;24
2017;Valga maakond;Jaanuar;7
2017;Viljandi maakond;Jaanuar;6
2017;Võru maakond;Jaanuar;2
2018;Harju maakond;Jaanuar;114
2018;..Tallinn;Jaanuar;114
2018;Hiiu maakond;Jaanuar;1
2018;Ida-Viru maakond;Jaanuar;45
2018;Jõgeva maakond;Jaanuar;2
2018;Järva maakond;Jaanuar;4
2018;Lääne maakond;Jaanuar;3
2018;Lääne-Viru maakond;Jaanuar;8
2018;Põlva maakond;Jaanuar;2
2018;Pärnu maakond;Jaanuar;8
2018;Rapla maakond;Jaanuar;6
2018;Saare maakond;Jaanuar;5
2018;Tartu maakond;Jaanuar;27
2018;Valga maakond;Jaanuar;1
2018;Viljandi maakond;Jaanuar;7
2018;Võru maakond;Jaanuar;4
2019;Harju maakond;Jaanuar;116
2019;..Tallinn;Jaanuar;116
2019;Hiiu maakond;Jaanuar;3
2019;Ida-Viru maakond;Jaanuar;16
2019;Jõgeva maakond;Jaanuar;3
2019;Järva maakond;Jaanuar;2
2019;Lääne maakond;Jaanuar;8
2019;Lääne-Viru maakond;Jaanuar;7
2019;Põlva maakond;Jaanuar;1
2019;Pärnu maakond;Jaanuar;10
2019;Rapla maakond;Jaanuar;3
2019;Saare maakond;Jaanuar;7
2019;Tartu maakond;Jaanuar;23
2019;Valga maakond;Jaanuar;2
2019;Viljandi maakond;Jaanuar;10
2019;Võru maakond;Jaanuar;2
2020;Harju maakond;Jaanuar;133
2020;..Tallinn;Jaanuar;133
2020;Hiiu maakond;Jaanuar;1
2020;Ida-Viru maakond;Jaanuar;31
2020;Jõgeva maakond;Jaanuar;1
2020;Järva maakond;Jaanuar;4
2020;Lääne maakond;Jaanuar;2
2020;Lääne-Viru maakond;Jaanuar;9
2020;Põlva maakond;Jaanuar;1
2020;Pärnu maakond;Jaanuar;12
2020;Rapla maakond;Jaanuar;6
2020;Saare maakond;Jaanuar;5
2020;Tartu maakond;Jaanuar;25
2020;Valga maakond;Jaanuar;3
2020;Viljandi maakond;Jaanuar;6
2020;Võru maakond;Jaanuar;3
2006;Harju maakond;Veebruar;119
2006;..Tallinn;Veebruar;106
2006;Hiiu maakond;Veebruar;0
2006;Ida-Viru maakond;Veebruar;38
2006;Jõgeva maakond;Veebruar;7
2006;Järva maakond;Veebruar;3
2006;Lääne maakond;Veebruar;3
2006;Lääne-Viru maakond;Veebruar;12
2006;Põlva maakond;Veebruar;1
2006;Pärnu maakond;Veebruar;19
2006;Rapla maakond;Veebruar;2
2006;Saare maakond;Veebruar;5
2006;Tartu maakond;Veebruar;29
2006;Valga maakond;Veebruar;6
2006;Viljandi maakond;Veebruar;11
2006;Võru maakond;Veebruar;3
2007;Harju maakond;Veebruar;125
2007;..Tallinn;Veebruar;114
2007;Hiiu maakond;Veebruar;0
2007;Ida-Viru maakond;Veebruar;41
2007;Jõgeva maakond;Veebruar;3
2007;Järva maakond;Veebruar;4
2007;Lääne maakond;Veebruar;7
2007;Lääne-Viru maakond;Veebruar;19
2007;Põlva maakond;Veebruar;4
2007;Pärnu maakond;Veebruar;13
2007;Rapla maakond;Veebruar;2
2007;Saare maakond;Veebruar;1
2007;Tartu maakond;Veebruar;29
2007;Valga maakond;Veebruar;6
