Aadress	ID
Nirgi Kasevälja Iisaku vald Ida-Virumaa	1952766
Vainu talu Tõravere Nõo vald Tartumaa	1953240
Säre küla Saare talu Antsla Antsla vald Võrumaa	1953249
Luguse Käina vald Hiiumaa	1954991
Taakli Salutaguse Kohila vald Raplamaa	1955588
Kopli maja Ummaru Raikküla vald Raplamaa	1955989
Napi Misso vald Võrumaa	1957837
Pihlaka 56 Audru Audru vald Pärnumaa	1959109
Kase Kambja Kambja vald Tartumaa	1959671
Tallinna mnt 8 Põltsamaa Jõgevamaa	1962077
J. Hurda tee Himmaste Põlva vald Põlvamaa	1963774
holopi Umbsaare Võru vald Võrumaa	1964164
Koidu 14 Kadrina Kadrina vald Lääne-Virumaa	1964418
Linnu tee 11 Õssu Ülenurme vald Tartumaa	1964817
Valgjärve Valgjärve vald Põlvamaa	1964823
Mesika elamurajoon Kohila Kohila vald Raplamaa	1965595
Vilimeeste Tarvastu vald Viljandimaa	1968902
Sandra kinnistu Veia Saare vald Jõgevamaa	1972549
 Jäneda Tapa vald Lääne-Virumaa	1975010
Tervishoiu Veeriku Tartu Tartumaa	1978370
  Kaldemäe Vooreküla Vastse-Kuuste vald Põlvamaa	1982385
Silveri talu Ohtja Mustjala vald Saaremaa	1983407
Urgesauna Urge Kohila vald Raplamaa	1984099
Lille 9 Järve Kohtla-Järve Ida-Virumaa	1984377
Ehitaja Tammelinn Tartu Tartumaa	1984605
Võru Võrumaa	1984989
Seli Pirgu Juuru vald Raplamaa	1985072
Madise Vahtraste Muhu vald Saaremaa	1985386
tallinna mnt. 122 Pärnu Pärnumaa	1985485
Koidu 21 Võhma Viljandimaa	1986162
Räpina Räpina vald Põlvamaa	1986251
Laiusevälja Jõgeva vald Jõgevamaa	1988908
Valgjärve Valgjärve vald Põlvamaa	1989114
Raassilla Tarvastu vald Viljandimaa	1991409
Tamme pst. 12 Tammelinn Tartu Tartumaa	1991919
Vahi alevik Raadi-Kruusamäe Tartu Tartumaa	1992202
Ringpuiestee 2 Kilingi-Nõmme Saarde vald Pärnumaa	1996378
Reinu talu Lassi Salme vald Saaremaa	1998109
Sõmerpalu Sõmerpalu vald Võrumaa	1998424
Vanasilla talu Keskvere Pöide vald Saaremaa	1999879
Välja Mustla Mustla Tarvastu vald Viljandimaa	2002539
kesk 1b Sooru Tõlliste vald Valgamaa	2002553
Tamme 1 Vana-Kuuste Kambja vald Tartumaa	2005785
Liiva Nõo Nõo vald Tartumaa	2009093
Rahetsema Ramsi Viljandi vald Viljandimaa	2010751
Vapramäe 8B Elva Tartumaa	2011536
Ihaste Tartu Tartumaa	2013088
Karja Mustla Tarvastu vald Viljandimaa	2014865
Ute tee 8 Lemmatsi Ülenurme vald Tartumaa	2015333
Ruudiküla Vasara Viljandi vald Viljandimaa	2015702
Nõmmeliiva Ihaste Tartu Tartumaa	2017248
Paslepa Noarootsi vald Läänemaa	2019579
Meeksi Meeksi vald Tartumaa	2019590
Ehitaja tee Navi Võru vald Võrumaa	2019602
uus tn Paide Järvamaa	2036392
Suislepa Tarvastu vald Viljandimaa	2041845
Rebase 4 Kesklinn Tartu Tartumaa	2042327
J.Kärneri 6 Elva Tartumaa	2042328
Pärnu - Paide mnt. 7 Vändra Vändra vald (alev) Pärnumaa	2042346
Jakobsoni 15 Vändra Vändra vald (alev) Pärnumaa	2042347
Pihlakavälja * Kalvi Aseri vald Ida-Virumaa	2042369
Marguse Vasta Viru-Nigula vald Lääne-Virumaa	2042374
Kehala Vinni vald Lääne-Virumaa	2042408
Kirepi Kirepi Rõngu vald Tartumaa	2042435
Lauri tee Viljandi Viljandimaa	2042444
 Hara Noarootsi vald Läänemaa	2042445
Aiandi tn Haapsalu Läänemaa	2042446
Hurmi Hurmi Kanepi vald Põlvamaa	2042465
