Aadress	ID
Kivila 11 1 Kangru Kiili vald Harjumaa	1307478
Tamme tee 2 Kulna Keila vald Harjumaa	1307511
Rahvamaja 8b Kohila Kohila vald Raplamaa	1307512
Oldekopi tee 5A Tabasalu Harku vald Harjumaa	1307514
Ülenurme Mõisniku Tartu Tartumaa	1307534
Kaera 21 Uuetoa elurajoon Tõrvandi Ülenurme vald Tartumaa	1307571
 Kõrveküla Tartu vald Tartumaa	1307604
Loosi Tõrva Valgamaa	1307640
Sookolli 20 Tänassilma Saku vald Harjumaa	1307681
Ranniku tee 19 Pirita Tallinn Harjumaa	1307686
Uusküla * Rapla vald Raplamaa	1307699
Võõpsu mnt 30 Räpina Räpina vald Põlvamaa	1307773
Kanepi Kanepi vald Põlvamaa	1307780
Mõisatamme 25 Raadi-Kruusamäe Tartu Tartumaa	1307781
Mõisatamme 27 Raadi-Kruusamäe Tartu Tartumaa	1307801
Ranna tn 8 Vana-Pärnu Pärnu Pärnumaa	1307842
Kummeli Mähe Pirita Tallinn Harjumaa	1307867
Kesk-kaare Viimsi vald Harjumaa	1307943
Viiratsi  Viljandi vald Viljandimaa	1307958
Hundi tee 32 Haabneeme Viimsi vald Harjumaa	1307968
Nurmiku 2 Haabneeme Viimsi vald Harjumaa	1307989
Tõhela Tõstamaa vald Pärnumaa	1308002
 13 Jõhvi vald Ida-Virumaa	1308202
Pilkuse Pilkuse Otepää vald Valgamaa	1308343
Jõeviire Jõeveere Veriora vald Põlvamaa	1308412
Lillevälja tee Ihaste Tartu Tartumaa	1308568
Tulbi * Haapsalu Läänemaa	1308736
 Külitse Ülenurme vald Tartumaa	1308775
Vääna tn. 23 Nõmme Tallinn Harjumaa	1308975
Tammiku tee  Pringi Viimsi vald Harjumaa	1309020
Pärnamäe tee Pirita Tallinn Harjumaa	1309044
Jäeve tee 7 Assaku Rae vald Harjumaa	1309585
Künnapuu 41 Maarjamäe Pirita Tallinn Harjumaa	1309593
Sanglepa 5 Pirita Tallinn Harjumaa	1309764
Saru * Saru Mõniste vald Võrumaa	1309895
Leevi * Leevi Veriora vald Põlvamaa	1309898
Männi tee Aardlapalu Haaslava vald Tartumaa	1309986
Tanuma 21 Haabersti Tallinn Harjumaa	1309995
Tedre 14 Muraste Harku vald Harjumaa	1310114
Ennu Esiküla Käina vald Hiiumaa	1310163
 Krabi Varstu vald Võrumaa	1310177
pirni tee 25 metsakasti küla Metsakasti Viimsi vald Harjumaa	1310295
Kooraste * Kooraste Kanepi vald Põlvamaa	1310368
Luha * Räpina Räpina vald Põlvamaa	1310369
Kremessova Kremessova Värska vald Põlvamaa	1310372
Vahtramäe tee 9 Lagedi Rae vald Harjumaa	1310422
Rüütli 1a Pärnu Pärnumaa	1310454
. . . Püünsi Viimsi vald Harjumaa	1310530
Kadaka tee 4 Aardla Haaslava vald Tartumaa	1310592
Matti Suru Kuusalu vald Harjumaa	1310622
Keedika Lääne-Nigula vald Läänemaa	1310649
  Saku vald Harjumaa	1310668
Surju Surju Surju vald Pärnumaa	1310683
Kristiini talu Tusti Muhu vald Saaremaa	1310685
Ahvena tee 11 Tallinn Harjumaa	1310769
Tammelinn Tartu Tartumaa	1310819
Tootsi tee 13 Alliku Saue vald Harjumaa	1310829
 tn. 16 Tammelinn Tartu Tartumaa	1310831
Ringtee    Põlva Põlva vald Põlvamaa	1310840
Pikk Võru Võrumaa	1310902
Lodjapuu tee 15 Karla Rae vald Harjumaa	1310966
Niidu * Kanepi Kanepi vald Põlvamaa	1310974
Niidu * Kanepi Kanepi vald Põlvamaa	1310975
Turbasambla 12 Nõmme Tallinn Harjumaa	1310990
Aespa Kiisa Saku vald Harjumaa	1311124
Kesa Põlva Põlva vald Põlvamaa	1311192
Maramaa Tartu vald Tartumaa	1311203
   Ratla Leisi vald Saaremaa	1311217
Jõe tee 8 Mähma Viljandi vald Viljandimaa	1311232
Priimula 100 Mähe Pirita Tallinn Harjumaa	1311305
Põlde Veeriku Valjala vald Saaremaa	1311341
Jõekalda Pirita Tallinn Harjumaa	1311368
  Vasalemma Vasalemma vald Harjumaa	1311476
Kakumetsa Kakumetsa Luunja vald Tartumaa	1311478
Raja 2 Kuressaare Saaremaa	1311840
Kiisa25km Tallinnast Aespa Kohila vald Raplamaa	1311902
Kuu 4 Katase Katase Alajõe vald Ida-Virumaa	1311997
Maali  Linnamäe Lääne-Nigula vald Läänemaa	1312080
Lumiku tee  9 Kloostrimetsa Pirita Tallinn Harjumaa	1312101
Kadastiku  Riguldi Noarootsi vald Läänemaa	1312154
Himma * Himma Laheda vald Põlvamaa	1312158
Seedri tee 39 Jüri Rae vald Harjumaa	1312218
A/K Männiku aed  Metsanurme Saku vald Harjumaa	1312267
Kristalli Räniküla  Räni Ülenurme vald Tartumaa	1312289
Kruusimäe tee Loo Loo Jõelähtme vald Harjumaa	1312302
Kruusimäe tee Loo Loo Jõelähtme vald Harjumaa	1312304
Kanarbiku Keila Harjumaa	1312462
Miku 25 Metsaääre Surju vald Pärnumaa	1312466
Villa Aseriaru Aseri vald Ida-Virumaa	1312615
Kesktänav - 6a Sindi Pärnumaa	1312747
Singa küla Mõniste vald Võrumaa	1312785
 Mõisaküla Viljandimaa	1312789
Jõeveeru Kurepalu Roiu Tartu Tartumaa	1312867
Side Rannarajoonis Pärnu Pärnumaa	1312948
Saare Talu Konguta vald Tartumaa	1312984
 tn. Soinaste Ülenurme vald Tartumaa	1313023
Meremärgi 10 Püünsi Viimsi vald Harjumaa	1313054
Roostiku tee  Patika Rae vald Harjumaa	1313108
Mõisatamme 25 Raadi-Kruusamäe Tartu Tartumaa	1313158
Mõisatamme 27 Raadi-Kruusamäe Tartu Tartumaa	1313189
Ülase tn 7 Pärnu Pärnumaa	1313335
Turbasambla 12 Nõmme Tallinn Harjumaa	1313360
Raigaste Rõngu vald Tartumaa	1313408
Murru Saku Saku vald Harjumaa	1313660
Päikesekiire Vergi Vihula vald Lääne-Virumaa	1313672
Palderjani 2 Pirita Tallinn Harjumaa	1313791
Salu tee 10 Tartu Tartumaa	1313807
Välja tn. 12 (Kaugus Tallinnast: 15 km) Tallinn Harjumaa	1314029
Tanni tn. 24 Pääsupesa Tiskre Harku vald Harjumaa	1314286
Ehitaja tn. 13 Keila-Joa Türisalu Harku vald Harjumaa	1314324
 Suure-Jaani vald Viljandimaa	1314373
Kivila tee Kangru Kiili vald Harjumaa	1314516
Tai talu * Mätasselja Lääne-Saare vald Saaremaa	1314517
Hatiku Mammaste Põlva vald Põlvamaa	1314770
Mõisniku 38 Mõisa elurajoon Ülenurme Ülenurme vald Tartumaa	1314880
Uueveski piiril Viljandi Viljandimaa	1314904
Vanasauna tee 42 Loo Jõelähtme vald Harjumaa	1314959
Aasa 9 Pärnu Pärnumaa	1314993
Luha 1 Kilingi-Nõmme Saarde vald Pärnumaa	1314996
Vesiveski Vihterpalu Padise vald Harjumaa	1314998
Kaevu - nüüd on õige aeg osta Pärnu Pärnumaa	1314999
Vahi küla Raadi-Kruusamäe Tartu Tartumaa	1375002
Lihula mnt 27 Audru Audru vald Pärnumaa	1375026
Sutiku 1 Käärdi alevik  Elva Tartumaa	1375032
Männikmäe 4 Männikmäe Mõdriku Vinni vald Lääne-Virumaa	1375123
Viimsi tee 42  Pirita Tallinn Harjumaa	1375155
Vete 15 Nõmme Tallinn Harjumaa	1375273
Orasheina tee 10 Tallinn Harjumaa	1375546
Orasheina tee 10 Maardu Harjumaa	1375548
Orasheina tee 10 Maardu Harjumaa	1375555
Orasheina tee 10 Tallinn Harjumaa	1375557
Lemmatsi Ülenurme vald Tartumaa	1375570
Murelipuu pst Muuga Tallinn Harjumaa	1375625
Turbasambla 12 Nõmme Tallinn Harjumaa	1375672
Paislehe Patika Rae vald Harjumaa	1375711
Ristiku 1 Kiili Kiili vald Harjumaa	1375794
  <U+041F><U+041E><U+041C><U+0415><U+041D><U+042F><U+0419> <U+041A><U+0412><U+0410><U+0420><U+0422><U+0418><U+0420><U+0423> <U+041D><U+0410> <U+0414><U+041E><U+041C> Tabasalu Harku vald Harjumaa	1375866
Kungla 13 Kesklinn Valga Valgamaa	1375879
Pikk Elva Tartumaa	1375919
Perve 6 Valga Valgamaa	1375953
Võimalik rentida Soodushind kuni 09.mai 2010 Kauksi Mooste vald Põlvamaa	1376003
Kiili Tabasalu Harku vald Harjumaa	1376013
Kesk-Kaare tee 43 Pärnamäe Viimsi vald Harjumaa	1376030
Vahtra Humala Harku vald Harjumaa	1376045
Muratsi Lääne-Saare vald Saaremaa	1376183
Ähniorg Põlva Põlva vald Põlvamaa	1376266
Ähniorg Põlva Põlva vald Põlvamaa	1376268
Kose Võru vald Võrumaa	1376276
Lootuse tee 10 Metsakasti Viimsi vald Harjumaa	1376318
Puka alev Puka Puka vald Valgamaa	1376345
Vigala vald Raplamaa	1376359
Aloe tee Iru Jõelähtme vald Harjumaa	1376365
Kopra tee 2 Iru Jõelähtme vald Harjumaa	1376385
Upa Lääne-Saare vald Saaremaa	1376444
Kivinuki tee Rae Rae vald Harjumaa	1376511
Kivi Tallinn Harjumaa	1376711
Laadi Tahkuranna vald Pärnumaa	1376818
Väluste Tarvastu vald Viljandimaa	1376864
Jüri talu Nigula Tartu vald Tartumaa	1376867
  Kloostrimetsa Pirita Tallinn Harjumaa	1376948
Saare 7 Rapla Rapla vald Raplamaa	1376989
Käärti Haabneeme Viimsi vald Harjumaa	1377016
Rabaküla Rabaküla Surju vald Pärnumaa	1377305
Lõikus 6 Viljandi Viljandimaa	1377559
Lõikuse 6 Viljandi Viljandimaa	1377568
Munalaskme küla * Munalaskme Nissi vald Harjumaa	1377638
Õpetaja 12 Haapsalu Läänemaa	1377702
Kauri * Kose vald Harjumaa	1377706
Kase 18 Laulasmaa Keila vald Harjumaa	1377725
Tai talu * Mätasselja Lääne-Saare vald Saaremaa	1377726
Tuuleveski 18A Haabersti Tallinn Harjumaa	1377740
Hipodroomi  Ihaste Tartu Tartumaa	1377850
Tuigo tee  Mõra Haaslava vald Tartumaa	1377929
Võru vald Võrumaa	1377990
Niidi 30 Põhja-Tallinn Tallinn Harjumaa	1378109
Osja tn 16 Pirita Tallinn Harjumaa	1378114
Kadaka tee 4 Aardla Haaslava vald Tartumaa	1378158
Kahlu  Haabersti Tallinn Harjumaa	1378250
Taramaa tee Türisalu Harku vald Harjumaa	1378256
Männi tee 17 Haabneeme Viimsi vald Harjumaa	1378355
Õunapuu Muuga Maardu Harjumaa	1378468
Suvila  Suurupi Harku vald Harjumaa	1378483
Veskimetsa Järveküla Järveküla Rae vald Harjumaa	1378502
Nisu 9 Tõrvandi Ülenurme vald Tartumaa	1378531
 6 Türisalu Harku vald Harjumaa	1378607
Kallavere tee 23/ Õisiku tee 6 Maardu Harjumaa	1378732
Suurepärane asukoht Haavasalu Saku Saku vald Harjumaa	1378766
Rabaküla Rabaküla Surju vald Pärnumaa	1378777
Tammelinn Tartu Tartumaa	1378836
 Võru Võrumaa	1378927
Suureniidu Püünsi Püünsi Viimsi vald Harjumaa	1378992
Veski maja * Hagudi Rapla vald Raplamaa	1379044
Nurmenuku 36 võimalik suurendada pinda 150 m²-ni Keila Harjumaa	1379046
Kaevuaia 14 Randvere Viimsi vald Harjumaa	1379121
Rasina Mooste vald Põlvamaa	1379325
Paadi tee Lindi Audru vald Pärnumaa	1379346
 Võnnu Võnnu vald Tartumaa	1379380
-20 Alajõe vald Ida-Virumaa	1379442
Helduri Kilksama Sauga vald Pärnumaa	1379451
Linnu tee - ilus ja korras Paikuse Paikuse vald Pärnumaa	1379477
Rannaküla Vääna-Jõesuu Harku vald Harjumaa	1379561
Oldekopi tee 5A Tabasalu Harku vald Harjumaa	1379599
Kuldnoka tn 6 Tammelinn Tartu Tartumaa	1379610
Koidutähe Ihaste Tartu Tartumaa	1379618
Männiku tee Aruküla Raasiku vald Harjumaa	1380088
 Rae Rae vald Harjumaa	1380091
Tanuma Rocca al Mare Haabersti Tallinn Harjumaa	1380183
Nõo Nõo vald Tartumaa	1380214
Kaval-Antsu 6 Räni Ülenurme vald Tartumaa	1380226
Päikese 125m  Kõruse Kihelkonna vald Saaremaa	1380248
Metsa 1 .  Saku Saku vald Harjumaa	1380252
Kabli 1 Aila Saue vald Harjumaa	1380346
Sädeme 17 Haabersti Tallinn Harjumaa	1380348
Suur-Kaare tee 75 Pärnamäe Viimsi vald Harjumaa	1380349
Puraviku Laane Ülenurme vald Tartumaa	1380366
Haapse Jõelähtme vald Harjumaa	1380381
Tedrepere 14 Haabersti Tallinn Harjumaa	1380662
Karla Kose vald Harjumaa	1380825
Hämar tee 3 Pirita Tallinn Harjumaa	1380826
Veskikaare 3 Tammiste Sauga vald Pärnumaa	1380922
