"ID";Aadress;Täisaadress;Objekti liik;Tase1 kood;Tase1 nimetus;Tase2 kood;Tase2 nimetus;Tase3 kood;Tase3 nimetus;Tase4 kood;Tase4 nimetus;Tase5 kood;Tase5 nimetus;Tase6 kood;Tase6 nimetus;Tase7 kood;Tase7 nimetus;Tase8 kood;Tase8 nimetus;Koodaadress;ADR ID;L-Est X;L-Est Y;N;E;N (dms);E (dms)
1639976;Vesikupu tee Uuemetsa elurajoon Tammiste Sauga vald Pärnumaa;Pärnu maakond;1;68;Pärnu maakond;000;;;;;;;;;;;;;;680000000000000000000000000000000;2908388;6471454;529885;58,38253;24,51088;"58°22'57.11""";"24°30'39.17"""
1639983;Kivialliku tee Reiu Tahkuranna vald Pärnumaa;"Pärnu maakond, Häädemeeste vald, Reiu küla, Kivialliku tee 10";3;68;Pärnu maakond;214;Häädemeeste vald;6925;Reiu küla;;;0QUS;Kivialliku tee;;;A6KI;10;;;68214692500000QUS0000A6KI00000000;2916886;6463149;535926;58,30751;24,61285;"58°18'27.05""";"24°36'46.25"""
1684732;Pihkva Mustvee Jõgevamaa;"Jõgeva maakond, Mustvee vald, Mustvee linn, Pihkva tn";2;50;Jõgeva maakond;486;Mustvee vald;5097;Mustvee linn;;;0TFB;Pihkva tn;;;;;;;50486509700000TFB0000000000000000;3358113;6525779;670109;58,83774;26,94698;"58°50'15.85""";"26°56'49.11"""
1684855;Pihkva Mustvee Jõgevamaa;"Jõgeva maakond, Mustvee vald, Mustvee linn, Pihkva tn";2;50;Jõgeva maakond;486;Mustvee vald;5097;Mustvee linn;;;0TFB;Pihkva tn;;;;;;;50486509700000TFB0000000000000000;3358113;6525779;670109;58,83774;26,94698;"58°50'15.85""";"26°56'49.11"""
1686685;Jürivärava Kantsi Muhu vald Saaremaa;"Saare maakond, Muhu vald";1;74;Saare maakond;478;Muhu vald;;;;;;;;;;;;;744780000000000000000000000000000;100173;6496114;455584;58,60269;23,23593;"58°36'9.67""";"23°14'9.35"""
1696610;Linnu tee Tartu Tartumaa;"Tartu maakond, Kambja vald, Õssu küla, Linnu tee 10";3;79;Tartu maakond;283;Kambja vald;9717;Õssu küla;;;0D8P;Linnu tee;;;3RB2;10;;;79283971700000D8P00003RB200000000;2879442;6472425;655425;58,36464;26,65629;"58°21'52.69""";"26°39'22.64"""
1698471;Põlva vald Põlvamaa;"Põlva maakond, Põlva vald";1;64;Põlva maakond;622;Põlva vald;;;;;;;;;;;;;646220000000000000000000000000000;3158343;6438645;680298;58,05211;27,05456;"58°3'7.61""";"27°3'16.40"""
1703415;Väinjärve Koeru vald Järvamaa;"Järva maakond, Järva vald, Koeru alevik, Väinjärve tee 1";3;52;Järva maakond;255;Järva vald;3255;Koeru alevik;;;06IW;Väinjärve tee;;;1JK5;1;;;522553255000006IW00001JK500000000;2574484;6537826;616820;58,96357;26,0308;"58°57'48.84""";"26°1'50.89"""
1703977;Lammasküla tee Rakke Rakke vald Lääne-Virumaa;"Lääne-Viru maakond, Väike-Maarja vald, Suure-Rakke küla, Lammasküla tee 10";3;60;Lääne-Viru maakond;928;Väike-Maarja vald;7831;Suure-Rakke küla;;;07Y4;Lammasküla tee;;;0ZLT;10;;;609287831000007Y400000ZLT00000000;3229829;6540975;630217;58,98797;26,26538;"58°59'16.70""";"26°15'55.35"""
1704165;Pärna Antsla Antsla vald Võrumaa;"Võru maakond, Antsla vald, Antsla linn, Pärna tn 10";3;87;Võru maakond;142;Antsla vald;1301;Antsla linn;;;05VD;Pärna tn;;;1FKH;10;;;871421301000005VD00001FKH00000000;3244260;6412337;650611;57,82721;26,5353;"57°49'37.97""";"26°32'7.08"""
1720146;Kabli Penu Häädemeeste vald Pärnumaa;Pärnu maakond;1;68;Pärnu maakond;000;;;;;;;;;;;;;;680000000000000000000000000000000;2908388;6471454;529885;58,38253;24,51088;"58°22'57.11""";"24°30'39.17"""
1721648;Paasvere Laekvere vald Lääne-Virumaa;"Lääne-Viru maakond, Vinni vald, Paasvere küla";1;60;Lääne-Viru maakond;901;Vinni vald;5794;Paasvere küla;;;;;;;;;;;609015794000000000000000000000000;2822754;6551378;651394;59,07435;26,64056;"59°4'27.67""";"26°38'26.01"""
1726486;Kalda Tõrva Valgamaa;"Valga maakond, Tõrva vald, Tõrva linn, Kalda tn";2;81;Valga maakond;824;Tõrva vald;8529;Tõrva linn;;;0SC5;Kalda tn;;;;;;;81824852900000SC50000000000000000;2998245;6430418;613294;58,00058;25,91621;"58°0'2.09""";"25°54'58.37"""
