Aadress	ID
Viljandi mnt 13A Hagudi alevik Rapla vald Raplamaa	1918780
Veriora Veriora vald Põlvamaa	1919382
Looduse 4a Pajusti Rakvere Lääne-Virumaa	1920054
Lehise Haapsalu Läänemaa	1920121
Männiku tee Aruküla Raasiku vald Harjumaa	1921958
Rahu Elva Tartumaa	1922693
Nõmmeringi  Tartu Tartumaa	1923042
Räni Tammelinn Tartu Tartumaa	1924783
Pärnu mnt 46 Märjamaa Märjamaa vald Raplamaa	1926854
Variku Tartu Tartumaa	1927028
Kauge Viljandi Viljandimaa	1928188
Pikk 12 Ambla Ambla vald Järvamaa	1928336
Lepiku tee Veeriku Tartu Tartumaa	1928584
Tamme Tila Tartu vald Tartumaa	1930317
Pihlaka Tartu Tartumaa	1930700
Metsa tee 3 Viimsi vald Harjumaa	1932523
Ploomi Elva Tartumaa	1933000
Matka tee 5 Vääna-Jõesuu Liikva Harku vald Harjumaa	1933434
Palkmaja Muhu vald Saaremaa	1933900
Laane 4 Elva Elva Tartumaa	1933934
Kase 25A Maarjamäe Pirita Tallinn Harjumaa	1939993
Kase Maarjamäe Pirita Tallinn Harjumaa	1940002
Rõugu 7b Pärnu Pärnumaa	1940132
Luku talu Leistu Kose vald Harjumaa	1940226
Punga 18 Pirita Tallinn Harjumaa	1940254
Punga 18 Pirita Tallinn Harjumaa	1940256
Allikoja Külitse Ülenurme vald Tartumaa	1940607
Märteni Purila Rapla vald Raplamaa	1940673
Järve 14 Abja-Paluoja Abja vald Viljandimaa	1940738
Õie tee 18 Saustinõmme Saku vald Harjumaa	1942911
Sõreste Kanepi vald Põlvamaa	1942946
Külitse Ülenurme vald Tartumaa	1944165
Soo 8A Vana-Pärnu Pärnu Pärnumaa	1944246
Järve 4 Tõrva Valgamaa	1944585
kivistiku Saku Saku vald Harjumaa	1944637
Nõmmeringi Vahi Tartu vald Tartumaa	1944972
Remmelga 14 Valtu Kaerepere Kehtna vald Raplamaa	1945458
Pikk 3 Võiste Tahkuranna vald Pärnumaa	1945934
pikk 23 Tõrva Valgamaa	1947280
Tartu mnt Elva Tartumaa	1947504
Otepää Lille tn 9 Tallinn Harjumaa	1948451
Otepää Lille tn 9 Tartu Tartumaa	1948471
Kaare 12 Põltsamaa Jõgevamaa	1948716
haanja mnt Rõuge Rõuge vald Võrumaa	1949449
Vassevere Saare vald Jõgevamaa	1950541
Martna Martna vald Läänemaa	1950782
Ehitaja 22   Maarjamõisa Tartu Tartumaa	1951847
Haaviku Liiva Kose vald Harjumaa	1952254
Posti 5 Käru Käru vald Raplamaa	1952457
H. Mugasto Ihaste Tartu Tartumaa	1952731
Nirgi Kasevälja Iisaku vald Ida-Virumaa	1952766
Vainu talu Tõravere Nõo vald Tartumaa	1953240
Säre küla Saare talu Antsla Antsla vald Võrumaa	1953249
Luguse Käina vald Hiiumaa	1954991
Taakli Salutaguse Kohila vald Raplamaa	1955588
Kopli maja Ummaru Raikküla vald Raplamaa	1955989
Lasteaia 8 Ardu Kose vald Harjumaa	1956147
Napi Misso vald Võrumaa	1957837
Pihlaka 56 Audru Audru vald Pärnumaa	1959109
Kase Kambja Kambja vald Tartumaa	1959671
Tallinna mnt 8 Põltsamaa Jõgevamaa	1962077
Aniisi Saue Harjumaa	1963361
J. Hurda tee Himmaste Põlva vald Põlvamaa	1963774
holopi Umbsaare Võru vald Võrumaa	1964164
Koidu 14 Kadrina Kadrina vald Lääne-Virumaa	1964418
Linnu tee 11 Õssu Ülenurme vald Tartumaa	1964817
Valgjärve Valgjärve vald Põlvamaa	1964823
Mesika elamurajoon Kohila Kohila vald Raplamaa	1965595
rajaniidu 5 Maardu Harjumaa	1966502
Vilimeeste Tarvastu vald Viljandimaa	1968902
Kukeseene tee 8 Patika Rae vald Harjumaa	1971699
Sandra kinnistu Veia Saare vald Jõgevamaa	1972549
Tallinn-Keila-Paldiski Lehola Lehola Keila vald Harjumaa	1972766
 Jäneda Tapa vald Lääne-Virumaa	1975010
Tervishoiu Veeriku Tartu Tartumaa	1978370
Haapse Haapse Jõelähtme vald Harjumaa	1979594
Kuu põik 6 Juuliku Saku vald Harjumaa	1981625
  Kaldemäe Vooreküla Vastse-Kuuste vald Põlvamaa	1982385
Sillaku 6 Laagri Saue vald Harjumaa	1982443
Silveri talu Ohtja Mustjala vald Saaremaa	1983407
Urgesauna Urge Kohila vald Raplamaa	1984099
Pioneeri väikekoht Tuulna Keila vald Harjumaa	1984264
Roostiku Haabersti Tallinn Harjumaa	1984314
Lille 9 Järve Kohtla-Järve Ida-Virumaa	1984377
Ehitaja Tammelinn Tartu Tartumaa	1984605
Iru tee 9 Iru Jõelähtme vald Harjumaa	1984797
Võru Võrumaa	1984989
Seli Pirgu Juuru vald Raplamaa	1985072
Madise Vahtraste Muhu vald Saaremaa	1985386
tallinna mnt. 122 Pärnu Pärnumaa	1985485
Koidu 21 Võhma Viljandimaa	1986162
Räpina Räpina vald Põlvamaa	1986251
Viti Harku vald Harjumaa	1987899
Laiusevälja Jõgeva vald Jõgevamaa	1988908
Narva mnt 28 Kesklinn Tallinn Harjumaa	1989096
Valgjärve Valgjärve vald Põlvamaa	1989114
Väike-ringtee 7 Rohuneeme Rohuneeme Viimsi vald Harjumaa	1989158
Raassilla Tarvastu vald Viljandimaa	1991409
Tuuliku 22 Pohla Kernu vald Harjumaa	1991888
Tamme pst. 12 Tammelinn Tartu Tartumaa	1991919
Vahi alevik Raadi-Kruusamäe Tartu Tartumaa	1992202
Krõlli Laulasmaa Keila vald Harjumaa	1992931
Barsbütteli 15 Keila Harjumaa	1994672
Ülejõe küla Teeääre Kehra Anija vald Harjumaa	1995971
Ringpuiestee 2 Kilingi-Nõmme Saarde vald Pärnumaa	1996378
Kaladi 6 Kakumäe Haabersti Tallinn Harjumaa	1996452
Reinu talu Lassi Salme vald Saaremaa	1998109
Sõmerpalu Sõmerpalu vald Võrumaa	1998424
Vanasilla talu Keskvere Pöide vald Saaremaa	1999879
Delfiini Maidla Maidla Saue vald Harjumaa	2001960
Välja Mustla Mustla Tarvastu vald Viljandimaa	2002539
kesk 1b Sooru Tõlliste vald Valgamaa	2002553
Põhja-Käesalu Laulasmaa Keila vald Harjumaa	2005173
Rauna põik 1 Saue Harjumaa	2005340
Tamme 1 Vana-Kuuste Kambja vald Tartumaa	2005785
Kuusekese 2A Peetri Rae vald Harjumaa	2005835
Ojamaa Pae Padise vald Harjumaa	2006187
Vasara tee 5 Järveküla Rae vald Harjumaa	2007530
Vasara tee 9 Järveküla Rae vald Harjumaa	2007531
Kirve tee 11 Järveküla Rae vald Harjumaa	2007532
Kirve tee 17 Järveküla Rae vald Harjumaa	2007534
Liivakandi tee Loo Jõelähtme vald Harjumaa	2007700
Liiva Nõo Nõo vald Tartumaa	2009093
Kummeli tee 49 Pirita Tallinn Harjumaa	2010567
Rahetsema Ramsi Viljandi vald Viljandimaa	2010751
Vapramäe 8B Elva Tartumaa	2011536
Ihaste Tartu Tartumaa	2013088
Karja Mustla Tarvastu vald Viljandimaa	2014865
Ute tee 8 Lemmatsi Ülenurme vald Tartumaa	2015333
Ruudiküla Vasara Viljandi vald Viljandimaa	2015702
Nõmmeliiva Ihaste Tartu Tartumaa	2017248
Seljamäe talu Sigula Kuusalu vald Harjumaa	2017892
Paslepa Noarootsi vald Läänemaa	2019579
Meeksi Meeksi vald Tartumaa	2019590
Ehitaja tee Navi Võru vald Võrumaa	2019602
Lepiku tee 14 Vaela Kiili vald Harjumaa	2021736
Rohuneeme tee 40a-1 Haabneeme Viimsi vald Harjumaa	2021923
Tuulmetsa tee Muraste Harku vald Harjumaa	2026660
Kajaka 6 Kristiine Tallinn Harjumaa	2027910
Vatslanurme Vatsla Saue vald Harjumaa	2028997
Vabaduse pst 129 Nõmme Tallinn Harjumaa	2029864
Seljaku põik 6 Laagri Saue vald Harjumaa	2031310
uus tn Paide Järvamaa	2036392
Talviku Kristiine Tallinn Harjumaa	2038100
Suislepa Tarvastu vald Viljandimaa	2041845
Köömne 24 Haabersti Tallinn Harjumaa	2042310
Õie põik 1 Nõmme Tallinn Harjumaa	2042325
Rebase 4 Kesklinn Tartu Tartumaa	2042327
J.Kärneri 6 Elva Tartumaa	2042328
Pärnu - Paide mnt. 7 Vändra Vändra vald (alev) Pärnumaa	2042346
Jakobsoni 15 Vändra Vändra vald (alev) Pärnumaa	2042347
Tuule tee 22 Ilmandu Harku vald Harjumaa	2042359
Pihlakavälja * Kalvi Aseri vald Ida-Virumaa	2042369
Marguse Vasta Viru-Nigula vald Lääne-Virumaa	2042374
Kehala Vinni vald Lääne-Virumaa	2042408
Mesika tee Pirita-Kose Pirita Tallinn Harjumaa	2042427
Kirepi Kirepi Rõngu vald Tartumaa	2042435
Lauri tee Viljandi Viljandimaa	2042444
 Hara Noarootsi vald Läänemaa	2042445
Aiandi tn Haapsalu Läänemaa	2042446
Hurmi Hurmi Kanepi vald Põlvamaa	2042465
Kesa 5 Põlva Põlva vald Põlvamaa	2042469
Lauliku 16 Vahetuse võimalus korter+komp Elva Tartumaa	2042471
Moonakatemaja Uus hind Toolamaa Räpina vald Põlvamaa	2042474
Palupera tee 10 Otepää Otepää vald Valgamaa	2042476
Siila Jaanimõisa Mooste vald Põlvamaa	2042484
Lõikheina Muuga Maardu Harjumaa	2042499
Tammiste Sauga vald Pärnumaa	2042523
Tammiste Sauga vald Pärnumaa	2042524
 3 Sauga vald Pärnumaa	2042528
Kihlepa Audru vald Pärnumaa	2042530
 12 Reiu Tahkuranna vald Pärnumaa	2042537
Aesoo Tori vald Pärnumaa	2042540
 Reiu Tahkuranna vald Pärnumaa	2042542
Tiigi 35 Audru Audru vald Pärnumaa	2042586
Käärasoo 8 Paikuse Paikuse vald Pärnumaa	2042587
Kuuse 1 Kadapiku Kadrina vald Lääne-Virumaa	2042598
Nadalama Väike-Maarja vald Lääne-Virumaa	2042600
 Liu Audru vald Pärnumaa	2042602
Vintri Ulliste Vintri Salme vald Saaremaa	2042607
Tiigi Väljaküla Alatskivi vald Tartumaa	2042608
Puraviku 4 Laane Ülenurme vald Tartumaa	2042610
Kullikopli talu Hirmuküla Karksi vald Viljandimaa	2042620
valuoja pst Viljandi Viljandimaa	2042632
Vilde tn 18 Rakvere Lääne-Virumaa	2042655
Rohu tn Kiviõli Ida-Virumaa	2042664
Tammiku 22 Uusküla Jõelähtme vald Harjumaa	2042694
Kanarbiku 1 Paralepa Ridala vald Läänemaa	2042701
Pärnjõe Vändra vald Pärnumaa	2042727
Jõeääre tee 14 Loo Jõelähtme vald Harjumaa	2042731
Jõeääre tee 14 Loo Jõelähtme vald Harjumaa	2042732
Metsaotsa tee 2 Kloogaranna Keila vald Harjumaa	2042757
Nurmiku tee 32B Pirita Tallinn Harjumaa	2042758
Pärnu - Paide mnt. 7 Vändra Vändra vald (alev) Pärnumaa	2042776
 Oara Audru vald Pärnumaa	2042777
 Päigiste Halliste vald Viljandimaa	2042778
Lepa Haapsalu Läänemaa	2042800
Ääresalu 1 Türisalu Türisalu Harku vald Harjumaa	2042815
Peetri Pärnu Pärnumaa	2042838
Roosi Pärnu Pärnumaa	2042842
Jaama Pärnu Pärnumaa	2042846
Liiva Nõmme Tallinn Harjumaa	2042883
Mäe tee 13 Lohusalu Keila vald Harjumaa	2042889
