ID	Hind	Tube	Üldpind	Seisukord	Ehitusaasta	Aadress	Aasta	Maakond
1785458	222000	5	208	Uus	2008	Haavakannu tee 19 Rahinge Tähtvere vald Tartumaa	2013	Tartumaa
1788743	89900	6	267.5	Keskmine	1985	Elva Tartumaa	2013	Tartumaa
1789350	39900	2	65	Renoveeritud	2010	Nõela tn. 18 Aespa Kohila vald Raplamaa	2013	Raplamaa
1790186	129000	4	NA	Uus	2009	Sipelga Räni Ülenurme vald Tartumaa	2013	Tartumaa
1791391	6400	2	50	Vajab renoveerimist	1920	Võõpsu Räpina vald Põlvamaa	2013	Põlvamaa
1792495	16000	3	70	NA	2008	Tallinn Rapla Purila Kuusiku Sauna Kuku Rapla vald Raplamaa	2013	Raplamaa
1794430	62500	3	NA	Uus	2000	Linnujaama Lao Tõstamaa vald Pärnumaa	2013	Pärnumaa
1800064	140000	3	NA	Uus	2006	Maramaa Tartu vald Tartumaa	2013	Tartumaa
1802641	36000	6	120	Vajab san. remonti	1924	Tõrva Valgamaa	2013	Valgamaa
1820221	15000	3	76.2	Vajab renoveerimist	1900	Kinksepa Lüllemäe Karula vald Valgamaa	2013	Valgamaa
1823709	129800	5	300	NA	1995	Pallase pst 123 Ihaste Tartu Tartumaa	2013	Tartumaa
1837785	81300	4	110	Renoveeritud	1960	Kruusa 8 Rakvere Lääne-Virumaa	2013	Lääne-Virumaa
1840529	35000	5	200	Vajab san. remonti	1935	Peetri talu Käbiküla Kehtna Kehtna vald Raplamaa	2013	Raplamaa
1902532	32000	4	108.1	NA	1980	Salu 9 Põlva Põlva vald Põlvamaa	2013	Põlvamaa
1903696	109000	4	157.3	Uus	2009	Niidu Jõgeva Jõgevamaa	2013	Jõgevamaa
1904521	35000	4	180	Vajab renoveerimist	1923	Vassevere Saare vald Jõgevamaa	2013	Jõgevamaa
1905963	34900	5	200	Vajab renoveerimist	1921	saare 7 Kaerepere Kehtna vald Raplamaa	2013	Raplamaa
1907565	26000	4	74	Vajab san. remonti	1957	 4 Tamsalu Tamsalu vald Lääne-Virumaa	2013	Lääne-Virumaa
1907978	99000	NA	337	NA	1995	Karja 1 Parksepa Võru vald Võrumaa	2013	Võrumaa
1909902	139900	4	120	Uus	2012	Tuule Soinaste Ülenurme vald Tartumaa	2013	Tartumaa
1911313	29000	4	156	Keskmine	1943	Parkali 18 Simuna Väike-Maarja vald Lääne-Virumaa	2013	Lääne-Virumaa
1912938	69000	3	100	Renoveeritud	1918	Köödre Ristivälja Käina vald Hiiumaa	2013	Hiiumaa
1913495	83000	5	153	Keskmine	1973	Lille tn 9 Otepää Otepää vald Valgamaa	2013	Valgamaa
1915889	44500	5	120	Keskmine	1976	Oru-Põik 6 Antsla Antsla Antsla vald Võrumaa	2013	Võrumaa
1918780	53000	3	NA	Uus	2008	Viljandi mnt 13A Hagudi alevik Rapla vald Raplamaa	2013	Raplamaa
1919382	17000	5	148	Vajab san. remonti	1960	Veriora Veriora vald Põlvamaa	2013	Põlvamaa
1920054	225000	6	300	Uus	2005	Looduse 4a Pajusti Rakvere Lääne-Virumaa	2013	Lääne-Virumaa
1920121	99000	5	248	Renoveeritud	1987	Lehise Haapsalu Läänemaa	2013	Läänemaa
1922693	55000	3	65	Vajab san. remonti	1964	Rahu Elva Tartumaa	2013	Tartumaa
1923042	159000	5	191	Uus	2005	Nõmmeringi  Tartu Tartumaa	2013	Tartumaa
1924783	165000	7	219.9	Valmis	1948	Räni Tammelinn Tartu Tartumaa	2013	Tartumaa
1926854	39900	4	174	Keskmine	1949	Pärnu mnt 46 Märjamaa Märjamaa vald Raplamaa	2013	Raplamaa
1927028	160000	6	417	Uus	2000	Variku Tartu Tartumaa	2013	Tartumaa
1928188	85000	5	157	Keskmine	1964	Kauge Viljandi Viljandimaa	2013	Viljandimaa
1928336	26000	3	NA	Keskmine	1955	Pikk 12 Ambla Ambla vald Järvamaa	2013	Järvamaa
1928584	159000	5	167.8	Valmis	2003	Lepiku tee Veeriku Tartu Tartumaa	2013	Tartumaa
1930317	169000	4	142.2	Uus	2010	Tamme Tila Tartu vald Tartumaa	2013	Tartumaa
1930700	130000	6	164	NA	1956	Pihlaka Tartu Tartumaa	2013	Tartumaa
1933000	98000	6	248	Keskmine	1974	Ploomi Elva Tartumaa	2013	Tartumaa
1933900	3580	NA	NA	NA	2013	Palkmaja Muhu vald Saaremaa	2013	Saaremaa
1933934	147000	5	370	Renoveeritud	1992	Laane 4 Elva Elva Tartumaa	2013	Tartumaa
1940132	79900	4	224	San. remont tehtud	1978	Rõugu 7b Pärnu Pärnumaa	2013	Pärnumaa
1940607	82000	4	NA	Renoveeritud	1986	Allikoja Külitse Ülenurme vald Tartumaa	2013	Tartumaa
1940673	99000	5	197	NA	2003	Märteni Purila Rapla vald Raplamaa	2013	Raplamaa
1940738	46000	4	NA	Keskmine	1959	Järve 14 Abja-Paluoja Abja vald Viljandimaa	2013	Viljandimaa
1942946	29000	4	NA	Keskmine	1927	Sõreste Kanepi vald Põlvamaa	2013	Põlvamaa
1944165	90500	4	189	Renoveeritud	1986	Külitse Ülenurme vald Tartumaa	2013	Tartumaa
1944246	95000	5	153.2	NA	1965	Soo 8A Vana-Pärnu Pärnu Pärnumaa	2013	Pärnumaa
1944585	85000	5	130	Vajab san. remonti	1959	Järve 4 Tõrva Valgamaa	2013	Valgamaa
1944972	122000	4	169	Uus	2004	Nõmmeringi Vahi Tartu vald Tartumaa	2013	Tartumaa
1945458	65000	3	NA	Renoveeritud	1936	Remmelga 14 Valtu Kaerepere Kehtna vald Raplamaa	2013	Raplamaa
1945934	155000	7	282	Renoveeritud	1992	Pikk 3 Võiste Tahkuranna vald Pärnumaa	2013	Pärnumaa
1947280	89000	6	310	San. remont tehtud	1990	pikk 23 Tõrva Valgamaa	2013	Valgamaa
1947504	87000	5	165	Keskmine	1973	Tartu mnt Elva Tartumaa	2013	Tartumaa
1948471	83000	5	153	NA	1967	Otepää Lille tn 9 Tartu Tartumaa	2013	Tartumaa
1948716	115000	4	NA	Renoveeritud	2003	Kaare 12 Põltsamaa Jõgevamaa	2013	Jõgevamaa
1949449	44900	3	130	Vajab renoveerimist	1935	haanja mnt Rõuge Rõuge vald Võrumaa	2013	Võrumaa
1950541	17000	4	138	Keskmine	1930	Vassevere Saare vald Jõgevamaa	2013	Jõgevamaa
1950782	80000	5	280	Keskmine	1980	Martna Martna vald Läänemaa	2013	Läänemaa
1951847	102000	6	180	Vajab renoveerimist	1960	Ehitaja 22   Maarjamõisa Tartu Tartumaa	2013	Tartumaa
1952457	17400	12	288	Vajab san. remonti	1924	Posti 5 Käru Käru vald Raplamaa	2013	Raplamaa
1952731	215000	7	303.6	Valmis	2001	H. Mugasto Ihaste Tartu Tartumaa	2013	Tartumaa
1952766	35000	3	18400	Vajab san. remonti	1991	Nirgi Kasevälja Iisaku vald Ida-Virumaa	2013	Ida-Virumaa
1953240	60000	8	NA	Vajab renoveerimist	1964	Vainu talu Tõravere Nõo vald Tartumaa	2013	Tartumaa
1953249	39000	3	46.9	San. remont tehtud	1964	Säre küla Saare talu Antsla Antsla vald Võrumaa	2013	Võrumaa
1954991	2000	2	32	Vajab renoveerimist	1913	Luguse Käina vald Hiiumaa	2013	Hiiumaa
1955588	50000	6	320	Vajab san. remonti	1936	Taakli Salutaguse Kohila vald Raplamaa	2013	Raplamaa
1955989	180000	5	200	Renoveeritud	2002	Kopli maja Ummaru Raikküla vald Raplamaa	2013	Raplamaa
1957837	28000	3	64	Keskmine	1958	Napi Misso vald Võrumaa	2013	Võrumaa
1959109	84500	4	177.6	Uus	2006	Pihlaka 56 Audru Audru vald Pärnumaa	2013	Pärnumaa
1959671	35000	3	NA	Vajab renoveerimist	1931	Kase Kambja Kambja vald Tartumaa	2013	Tartumaa
1962077	57500	5	230	San. remont tehtud	1976	Tallinna mnt 8 Põltsamaa Jõgevamaa	2013	Jõgevamaa
1963774	55000	NA	NA	NA	1982	J. Hurda tee Himmaste Põlva vald Põlvamaa	2013	Põlvamaa
1964164	27000	2	NA	Renoveeritud	1964	holopi Umbsaare Võru vald Võrumaa	2013	Võrumaa
1964418	12000	2	34	Vajab renoveerimist	1961	Koidu 14 Kadrina Kadrina vald Lääne-Virumaa	2013	Lääne-Virumaa
1964817	105000	3	83	Uus	2006	Linnu tee 11 Õssu Ülenurme vald Tartumaa	2013	Tartumaa
1964823	64000	5	249	Keskmine	1986	Valgjärve Valgjärve vald Põlvamaa	2013	Põlvamaa
1965595	99800	4	NA	Uus	2013	Mesika elamurajoon Kohila Kohila vald Raplamaa	2013	Raplamaa
1968902	140000	5	196	Uus	2006	Vilimeeste Tarvastu vald Viljandimaa	2013	Viljandimaa
1972549	40000	3	NA	Renoveeritud	1910	Sandra kinnistu Veia Saare vald Jõgevamaa	2013	Jõgevamaa
1975010	44738	4	64.7	Uus	2005	 Jäneda Tapa vald Lääne-Virumaa	2013	Lääne-Virumaa
1978370	69999	4	105.4	Renoveeritud	2007	Tervishoiu Veeriku Tartu Tartumaa	2013	Tartumaa
1982385	40000	5	139	Keskmine	1934	  Kaldemäe Vooreküla Vastse-Kuuste vald Põlvamaa	2013	Põlvamaa
1983407	25000	4	NA	Keskmine	1936	Silveri talu Ohtja Mustjala vald Saaremaa	2013	Saaremaa
1984099	59000	4	200	San. remont tehtud	1897	Urgesauna Urge Kohila vald Raplamaa	2013	Raplamaa
1984377	40000	2	NA	Renoveeritud	1955	Lille 9 Järve Kohtla-Järve Ida-Virumaa	2013	Ida-Virumaa
1984605	159000	6	210	Renoveeritud	1962	Ehitaja Tammelinn Tartu Tartumaa	2013	Tartumaa
1984989	48000	3	141	Vajab san. remonti	1965	Võru Võrumaa	2013	Võrumaa
1985072	129000	4	150	Uus	2003	Seli Pirgu Juuru vald Raplamaa	2013	Raplamaa
1985386	55000	2	70	Uus	2006	Madise Vahtraste Muhu vald Saaremaa	2013	Saaremaa
1985485	1e+05	5	300	Vajab san. remonti	1986	tallinna mnt. 122 Pärnu Pärnumaa	2013	Pärnumaa
1986162	39900	7	150.3	Keskmine	1970	Koidu 21 Võhma Viljandimaa	2013	Viljandimaa
1986251	14500	2	35	Vajab renoveerimist	1958	Räpina Räpina vald Põlvamaa	2013	Põlvamaa
1988908	12000	3	NA	Vajab renoveerimist	1909	Laiusevälja Jõgeva vald Jõgevamaa	2013	Jõgevamaa
1989114	64000	6	167	Renoveeritud	2002	Valgjärve Valgjärve vald Põlvamaa	2013	Põlvamaa
1991409	9500	5	NA	Vajab renoveerimist	1956	Raassilla Tarvastu vald Viljandimaa	2013	Viljandimaa
1991919	299000	8	250	Keskmine	1930	Tamme pst. 12 Tammelinn Tartu Tartumaa	2013	Tartumaa
1992202	249000	4	273.4	Uus	2011	Vahi alevik Raadi-Kruusamäe Tartu Tartumaa	2013	Tartumaa
1996378	89000	10	NA	Keskmine	2000	Ringpuiestee 2 Kilingi-Nõmme Saarde vald Pärnumaa	2013	Pärnumaa
1998109	25000	3	175	Vajab renoveerimist	1850	Reinu talu Lassi Salme vald Saaremaa	2013	Saaremaa
1998424	28000	4	121.9	NA	1974	Sõmerpalu Sõmerpalu vald Võrumaa	2013	Võrumaa
1999879	29990	4	75	NA	1947	Vanasilla talu Keskvere Pöide vald Saaremaa	2013	Saaremaa
2002539	58000	5	330	NA	1995	Välja Mustla Mustla Tarvastu vald Viljandimaa	2013	Viljandimaa
2002553	19900	4	290	Vajab renoveerimist	1900	kesk 1b Sooru Tõlliste vald Valgamaa	2013	Valgamaa
2005785	127800	4	112	Renoveeritud	1955	Tamme 1 Vana-Kuuste Kambja vald Tartumaa	2013	Tartumaa
2009093	105000	6	231	San. remont tehtud	1998	Liiva Nõo Nõo vald Tartumaa	2013	Tartumaa
2010751	19500	3	75	Uus	2006	Rahetsema Ramsi Viljandi vald Viljandimaa	2013	Viljandimaa
2011536	160000	4	154	Valmis	2008	Vapramäe 8B Elva Tartumaa	2013	Tartumaa
2013088	271000	4	193	NA	2007	Ihaste Tartu Tartumaa	2013	Tartumaa
