ID	Hind	Tube	Üldpind	Seisukord	Ehitusaasta	Aadress.x	Aasta	Maakond	Täisaadress	Objekti.liik	Tase1.kood	Tase1.nimetus	Tase2.kood	Tase2.nimetus	Tase3.kood	Tase3.nimetus	Tase4.kood	Tase4.nimetus	Tase5.kood	Tase5.nimetus	Tase6.kood	Tase6.nimetus	Tase7.kood	Tase7.nimetus	Tase8.kood	Tase8.nimetus	Koodaadress	ADR.ID	L.Est.X	L.Est.Y	N	E	N..dms.	E..dms.
2204281	86000	6	274	Valmis	1990	Laadi tee Uulu Tahkuranna vald Pärnumaa	2013	Pärnumaa	Pärnu maakond, Häädemeeste vald, Uulu küla, Laadi tee 1	3	68	Pärnu maakond	214	Häädemeeste vald	8779	Uulu küla			0OZI	Laadi tee			9K7I	1			68214877900000OZI00009K7I00000000	2922733	6460054	533826	58,27989	24,57657	58°16'47.61"	24°34'35.66"
2204282	39000	4	121	Valmis	1939	Väljaotsa Vändra vald Pärnumaa	2013	Pärnumaa	Pärnu maakond, Põhja-Pärnumaa vald, Suurejõe küla, Vändra mnt 17	3	68	Pärnu maakond	638	Põhja-Pärnumaa vald	7838	Suurejõe küla			01UU	Vändra mnt			6AAK	17			686387838000001UU00006AAK00000000	2916527	6498711	564229	58,62352	25,10559	58°37'24.68"	25°6'20.11"
2204284	6000	NA	731	Vajab renoveerimist	1960	Pääsupesa Õru Õru vald Valgamaa	2013	Valgamaa	Valga maakond, Valga vald, Õru alevik, Pääsupesa	3	81	Valga maakond	855	Valga vald	9710	Õru alevik					5LKH	Pääsupesa					818559710000000005LKH000000000000	2989415	6422591	628963	57,92605	26,17677	57°55'33.77"	26°10'36.35"
2204294	26200	3	90.2	Valmis	1935	Orra-Karli Piiri Hummuli vald Valgamaa	2013	Valgamaa	Valga maakond, Tõrva vald, Piiri küla, Orra-Karli	3	81	Valga maakond	824	Tõrva vald	6186	Piiri küla					AOEL	Orra-Karli					81824618600000000AOEL000000000000	2975055	6414933	622456	57,85917	26,06303	57°51'33.02"	26°3'46.91"
2204319	95000	3	108	Uus	2008	Männiilu Paslepa Paslepa Noarootsi vald Läänemaa	2013	Läänemaa	Lääne maakond, Lääne-Nigula vald, Paslepa küla / Pasklep, Männiilu	3	56	Lääne maakond	441	Lääne-Nigula vald	6029	Paslepa küla / Pasklep					8UWI	Männiilu					564416029000000008UWI000000000000	2947668	6542574	469126	59,02096	23,46247	59°1'15.45"	23°27'44.90"
2204405	48000	NA	203	NA	1917	Kreutzwaldi 21a Võru Võrumaa	2013	Võrumaa	Võru maakond, Võru linn, F. R. Kreutzwaldi tn 21a	3	87	Võru maakond	919	Võru linn					05IG	F. R. Kreutzwaldi tn			2MYJ	21a			879190000000005IG00002MYJ00000000	3275788	6415465	677830	57,8452	26,99528	57°50'42.73"	26°59'42.99"
2204410	61000	8	177.7	NA	1957	Mere 2 Leisi Leisi vald Saaremaa	2013	Saaremaa	Saare maakond, Saaremaa vald, Leisi alevik, Mere tn 2	3	74	Saare maakond	714	Saaremaa vald	4237	Leisi alevik			06Q7	Mere tn			1YBN	2			747144237000006Q700001YBN00000000	2608700	6493379	423442	58,57366	22,68404	58°34'25.17"	22°41'2.55"
2204432	278000	7	320	Renoveeritud	1960	Karjamaa 24 Pärnu Pärnumaa	2013	Pärnumaa	Pärnu maakond, Pärnu linn, Pärnu linn, Karjamaa tn 24	3	68	Pärnu maakond	624	Pärnu linn	6619	Pärnu linn			0SGW	Karjamaa tn			BB7R	24			68624661900000SGW0000BB7R00000000	3055903	6470577	530626	58,37461	24,52343	58°22'28.58"	24°31'24.35"
2204459	63000	5	226	Valmis	1981	Araku Tõrva Valgamaa	2013	Valgamaa	Valga maakond, Tõrva vald, Tõrva linn, Araku tn	2	81	Valga maakond	824	Tõrva vald	8529	Tõrva linn			0S6I	Araku tn							81824852900000S6I0000000000000000	2997781	6429944	613118	57,99637	25,91301	57°59'46.94"	25°54'46.84"
2204460	38800	4	102	Renoveeritud	1950	Uus 37 Valga Valgamaa	2013	Valgamaa	Valga maakond, Valga vald, Valga linn, Uus tn 37	3	81	Valga maakond	855	Valga vald	8918	Valga linn			0S9D	Uus tn			B4T8	37			81855891800000S9D0000B4T800000000	3013570	6405344	620682	57,7736	26,02828	57°46'24.98"	26°1'41.80"
