PAARID;KOHAD;POS_KOHAD;KOLLOKAADID;POS_KOLLOKAADID;NER_KOLLOKAADID;KOKKU;KOHT_KOKKU;KOLL_KOKKU;N;E;Z-skoor
Moskva eksinud;Moskva;H;eksinud;A;O;1;11;7;45442;0.0016944676730777694;24.25195948008155
Moskva peetud;Moskva;H;peetud;A;O;1;11;7;45442;0.0016944676730777694;24.25195948008155
Tallinn päälik;Tallinn;H;päälik;A;O;4;72;17;45442;0.026935434179833635;24.208263203493235
vene sagedane;vene;G;sagedane;A;O;1;6;13;45442;0.0017164737467541041;24.095465549839254
vene kibe;vene;G;kibe;A;O;1;6;13;45442;0.0017164737467541041;24.095465549839254
Eesti selge;Eesti;H;selge;A;O;2;21;15;45442;0.006931913208045421;23.938425214589156
Lasna tume;Lasna;H;tume;A;O;1;8;10;45442;0.0017604858941067734;23.791316913653475
Pirita vaba;Pirita;H;vaba;A;O;1;16;5;45442;0.0017604858941067734;23.791316913653475
Pirita vaga;Pirita;H;vaga;A;O;1;16;5;45442;0.0017604858941067734;23.791316913653475
Viru praegune;Viru;H;praegune;A;O;1;9;9;45442;0.0017824919677831082;23.643479612167496
Vene valgendav;Vene;H;valgendav;A;O;1;28;3;45442;0.001848510188812112;23.215900563759728
Eesti seisev;Eesti;H;seisev;A;O;1;21;4;45442;0.001848510188812112;23.215900563759728
Kuimetsa parajane;Kuimetsa;H;parajane;A;O;1;29;3;45442;0.001914528409841116;22.810606164871412
Moskva kangekaelne;Moskva;H;kangekaelne;A;O;1;11;8;45442;0.0019365344835174509;22.68013007394021
vene valge;vene;G;valge;A;O;1;6;15;45442;0.00198054663087012;22.425723882580513
Liivi kuldne;Liivi;H;kuldne;A;O;1;15;6;45442;0.00198054663087012;22.425723882580513
Moskva raske;Moskva;H;raske;A;O;2;11;33;45442;0.007988204744509484;22.28780563931236
Lääs uhke;Lääs;H;uhke;A;O;1;3;32;45442;0.0021125830729281283;21.710741103189903
Harju rõõmus;Harju;H;rõõmus;A;O;1;7;14;45442;0.0021565952202807974;21.487113211090985
Eesti väärt;Eesti;H;väärt;A;O;1;21;5;45442;0.0023106377360151403;20.755318909105885
Eesti kestnud;Eesti;H;kestnud;A;O;1;21;5;45442;0.0023106377360151403;20.755318909105885
Liivi peetud;Liivi;H;peetud;A;O;1;15;7;45442;0.0023106377360151403;20.755318909105885
Vene kentsakas;Vene;H;kentsakas;A;O;2;28;15;45442;0.009242550944060561;20.707249815750433
Rootsi verine;Rootsi;H;verine;A;O;1;18;6;45442;0.002376655957044144;20.46366623836541
vene õnnetu;vene;G;õnnetu;A;O;1;6;18;45442;0.002376655957044144;20.46366623836541
Tallinn suur;Tallinn;H;suur;A;O;9;72;119;45442;0.18854803925883543;20.292542658204695
Pirita julge;Pirita;H;julge;A;O;1;16;7;45442;0.0024646802517494827;20.093148273413867
Vene selleaegne;Vene;H;selleaegne;A;O;1;28;4;45442;0.0024646802517494827;20.093148273413867
Vene nõder;Vene;H;nõder;A;O;1;28;4;45442;0.0024646802517494827;20.093148273413867
Vene kelm;Vene;H;kelm;A;O;1;28;4;45442;0.0024646802517494827;20.093148273413867
Põltsamaa kange;Põltsamaa;H;kange;A;O;1;6;19;45442;0.0025086923991021522;19.91523396247502
Kuimetsa kurb;Kuimetsa;H;kurb;A;O;1;29;4;45442;0.0025527045464548213;19.741933340351732
Viru pime;Viru;H;pime;A;O;1;9;13;45442;0.002574710620131156;19.656951368505304
Rooma suur;Rooma;H;suur;A;O;1;1;119;45442;0.0026187227674838256;19.490206898369625
Jägala paks;Jägala;H;paks;A;O;1;8;15;45442;0.0026407288411601604;19.408399574982333
pai punane;pai;S;punane;A;O;1;10;12;45442;0.0026407288411601604;19.408399574982333
saksa vana;saksa;G;vana;A;O;1;2;61;45442;0.0026847409885128294;19.24780752649647
Saksa viisakas;Saksa;H;viisakas;A;O;1;21;6;45442;0.002772765283218168;18.938151082301484
Eesti sõjapäälik;Eesti;H;sõjapäälik;A;O;1;21;6;45442;0.002772765283218168;18.938151082301484
Tallinn peetud;Tallinn;H;peetud;A;O;2;72;7;45442;0.011091061132872672;18.885494028802277
Eesti imelik;Eesti;H;imelik;A;O;2;21;25;45442;0.011553188680075701;18.499630133963272
Kose täis;Kose;H;täis;A;O;1;4;34;45442;0.002992826019981515;18.224580811837523
vene tühi;vene;G;tühi;A;O;1;6;23;45442;0.0030368381673341843;18.091237987231032
Vene kahtlane;Vene;H;kahtlane;A;O;1;28;5;45442;0.0030808503146868534;17.960757086938987
Harju sügav;Harju;H;sügav;A;O;1;7;20;45442;0.0030808503146868534;17.960757086938987
Tallinn hooplik;Tallinn;H;hooplik;A;O;1;72;2;45442;0.0031688746093921924;17.70798162747674
Tallinn piiratud;Tallinn;H;piiratud;A;O;1;72;2;45442;0.0031688746093921924;17.70798162747674
Rootsi tunginud;Rootsi;H;tunginud;A;O;1;18;8;45442;0.0031688746093921924;17.70798162747674
Lasna surnud;Lasna;H;surnud;A;O;1;8;18;45442;0.0031688746093921924;17.70798162747674
Rootsi järgmine;Rootsi;H;järgmine;A;O;1;18;8;45442;0.0031688746093921924;17.70798162747674
Pirita kuulus;Pirita;H;kuulus;A;O;1;16;9;45442;0.0031688746093921924;17.70798162747674
Kuimetsa vale;Kuimetsa;H;vale;A;O;1;29;5;45442;0.0031908806830685268;17.64642440634813
Saksa kitsas;Saksa;H;kitsas;A;O;1;21;7;45442;0.0032348928304211963;17.52519576476995
Toompea kõrge;Toompea;H;kõrge;A;O;1;5;30;45442;0.0033009110514502;17.34790960253477
Põltsamaa üksipäine;Põltsamaa;H;üksipäine;A;O;1;6;26;45442;0.0034329474935082083;17.00877140602358
Saksa hirmus;Saksa;H;hirmus;A;O;2;21;30;45442;0.013863826416090842;16.868150424603495
pai endine;pai;S;endine;A;O;1;10;16;45442;0.003520971788213547;16.79333263446503
Rootsi lihtne;Rootsi;H;lihtne;A;O;1;18;9;45442;0.0035649839355662164;16.68861102139545
Tallinn kuulus;Tallinn;H;kuulus;A;O;2;72;9;45442;0.014259935742264866;16.628903534967314
Tallinn põgenenud;Tallinn;H;põgenenud;A;O;2;72;9;45442;0.014259935742264866;16.628903534967314
Toompea terve;Toompea;H;terve;A;O;1;5;33;45442;0.0036310021565952202;16.5351048260426
Saksa tunginud;Saksa;H;tunginud;A;O;1;21;8;45442;0.003697020377624224;16.3857191559746
Kuimetsa tuim;Kuimetsa;H;tuim;A;O;1;29;6;45442;0.003829056819682232;16.09859461558833
Kuimetsa lustilik;Kuimetsa;H;lustilik;A;O;1;29;6;45442;0.003829056819682232;16.09859461558833
Kuimetsa elav;Kuimetsa;H;elav;A;O;1;29;6;45442;0.003829056819682232;16.09859461558833
Eesti raske;Eesti;H;raske;A;O;2;21;33;45442;0.015250209057699925;16.071923858099375
Moskva tore;Moskva;H;tore;A;O;1;11;16;45442;0.0038730689670349017;16.006156780662522
Rootsi osav;Rootsi;H;osav;A;O;1;18;10;45442;0.00396109326174024;15.825912821977042
Lääs vana;Lääs;H;vana;A;O;1;3;61;45442;0.004027111482769245;15.694615860294038
Eesti praegune;Eesti;H;praegune;A;O;1;21;9;45442;0.004159147924827252;15.441438455719961
Rootsi sarnane;Rootsi;H;sarnane;A;O;1;18;11;45442;0.004357202587914264;15.083414988245814
Moskva õnnetu;Moskva;H;õnnetu;A;O;1;11;18;45442;0.004357202587914264;15.083414988245814
Saksa kena;Saksa;H;kena;A;O;2;21;38;45442;0.017560846793715064;14.959846572353195
Kuimetsa julge;Kuimetsa;H;julge;A;O;1;29;7;45442;0.004467232956295938;14.894854278633435
Eesti osav;Eesti;H;osav;A;O;1;21;10;45442;0.0046212754720302805;14.642236764441021
Tallinn minev;Tallinn;H;minev;A;O;1;72;3;45442;0.004753311914088288;14.435525031724467
Tallinn olev;Tallinn;H;olev;A;O;1;72;3;45442;0.004753311914088288;14.435525031724467
Tallinn piinlik;Tallinn;H;piinlik;A;O;1;72;3;45442;0.004753311914088288;14.435525031724467
Vene tunginud;Vene;H;tunginud;A;O;1;28;8;45442;0.004929360503498965;14.172896697184909
Vene põlev;Vene;H;põlev;A;O;1;28;8;45442;0.004929360503498965;14.172896697184909
Liivi viimane;Liivi;H;viimane;A;O;1;15;15;45442;0.0049513665771753;14.141053560856829
Rootsi üksik;Rootsi;H;üksik;A;O;1;18;13;45442;0.005149421240262312;13.863683876149999
saksa suur;saksa;G;suur;A;O;1;2;119;45442;0.005237445534967651;13.745472365647485
Pirita püha;Pirita;H;püha;A;O;1;16;15;45442;0.005281457682320321;13.687474132371864
Jägala kõrge;Jägala;H;kõrge;A;O;1;8;30;45442;0.005281457682320321;13.687474132371864
Pirita paha;Pirita;H;paha;A;O;1;16;15;45442;0.005281457682320321;13.687474132371864
Pirita paks;Pirita;H;paks;A;O;1;16;15;45442;0.005281457682320321;13.687474132371864
Jägala suur;Jägala;H;suur;A;O;2;8;119;45442;0.020949782139870605;13.673102167810477
Moskva kerge;Moskva;H;kerge;A;O;1;11;22;45442;0.005325469829672989;13.630193871473798
Saksa häkiline;Saksa;H;häkiline;A;O;1;21;12;45442;0.005545530566436336;13.354060893824142
Saksa punane;Saksa;H;punane;A;O;1;21;12;45442;0.005545530566436336;13.354060893824142
Liivi päälik;Liivi;H;päälik;A;O;1;15;17;45442;0.00561154878746534;13.274393888890554
pai haige;pai;S;haige;A;O;1;10;27;45442;0.00594163989261036;12.89610969802895
Rootsi kentsakas;Rootsi;H;kentsakas;A;O;1;18;15;45442;0.00594163989261036;12.89610969802895
Rootsi viimane;Rootsi;H;viimane;A;O;1;18;15;45442;0.00594163989261036;12.89610969802895
Moskva imelik;Moskva;H;imelik;A;O;1;11;25;45442;0.006051670260992034;12.77692013099782
