PAARID;KOHAD;POS_KOHAD;KOLLOKAADID;POS_KOLLOKAADID;NER_KOLLOKAADID;KOKKU;KOHT_KOKKU;KOLL_KOKKU;N;E;Z-skoor
Eesti kõrge;Eesti;H;kõrge;A;O;1;21;30;45442;0.013863826416090842;8.375202836742213
Eesti hirmus;Eesti;H;hirmus;A;O;1;21;30;45442;0.013863826416090842;8.375202836742213
Kuimetsa kerge;Kuimetsa;H;kerge;A;O;1;29;22;45442;0.014039875005501518;8.32104231476797
Eesti suur;Eesti;H;suur;A;O;2;21;119;45442;0.054993178117160334;8.294051343940684
Tallinn uus;Tallinn;H;uus;A;O;1;72;9;45442;0.014259935742264866;8.254744281055519
Tallinn kole;Tallinn;H;kole;A;O;1;72;9;45442;0.014259935742264866;8.254744281055519
Eesti noor;Eesti;H;noor;A;O;1;21;31;45442;0.014325953963293869;8.235150597909303
Saksa noor;Saksa;H;noor;A;O;1;21;31;45442;0.014325953963293869;8.235150597909303
Moskva vana;Moskva;H;vana;A;O;1;11;61;45442;0.014766075436820562;8.107870735514497
Kuimetsa ilus;Kuimetsa;H;ilus;A;O;1;29;24;45442;0.015316227278728929;7.956478248090433
Põltsamaa suur;Põltsamaa;H;suur;A;O;1;6;119;45442;0.015712336604902954;7.852386264040132
Tallinn kardetav;Tallinn;H;kardetav;A;O;1;72;10;45442;0.01584437304696096;7.818550585750267
Tallinn vahva;Tallinn;H;vahva;A;O;1;72;10;45442;0.01584437304696096;7.818550585750267
Kuimetsa imelik;Kuimetsa;H;imelik;A;O;1;29;25;45442;0.015954403415342634;7.790672313290459
Kuimetsa ainus;Kuimetsa;H;ainus;A;O;1;29;25;45442;0.015954403415342634;7.790672313290459
Eesti vaene;Eesti;H;vaene;A;O;1;21;37;45442;0.01709871924651204;7.516715453119068
Kuimetsa viimne;Kuimetsa;H;viimne;A;O;1;29;27;45442;0.017230755688570045;7.486854523330705
Tallinn väsinud;Tallinn;H;väsinud;A;O;1;72;11;45442;0.017428810351657057;7.442693829294222
Tallinn vägine;Tallinn;H;vägine;A;O;1;72;11;45442;0.017428810351657057;7.442693829294222
Vene noor;Vene;H;noor;A;O;1;28;31;45442;0.019101271951058492;7.097297783957147
Liivi vana;Liivi;H;vana;A;O;1;15;61;45442;0.020135557413846223;6.90532573710726
Kuimetsa uhke;Kuimetsa;H;uhke;A;O;1;29;32;45442;0.02042163637163857;6.854786214767369
Tallinn sagedane;Tallinn;H;sagedane;A;O;1;72;13;45442;0.02059768496104925;6.824202736152139
Lasna suur;Lasna;H;suur;A;O;1;8;119;45442;0.020949782139870605;6.76418088606823
Pirita vana;Pirita;H;vana;A;O;1;16;61;45442;0.021477927908102636;6.676893301335307
Viru suur;Viru;H;suur;A;O;1;9;119;45442;0.023568504907354428;6.360273079066248
Tallinn viimane;Tallinn;H;viimane;A;O;1;72;15;45442;0.02376655957044144;6.332431798724433
Tallinn selge;Tallinn;H;selge;A;O;1;72;15;45442;0.02376655957044144;6.332431798724433
Tallinn vana;Tallinn;H;vana;A;O;2;72;61;45442;0.09665067558646186;6.122320419909285
