name,country,state,
Downam-Green,,,,
Wigan,,,,
Bolton,,,,
Lower Darwent,,,,
Blackburn.,,,
Lancaßter,,,
Fluckborough,,,
Bottle;,,,
Fluckborough,,,,
Millam-Sand,,,,
Ravenglaßs,,,,
Ford,,,
Muncaßter-Hall,,,,
Whitehaven,,,
Kendal,,,
Kerßwick,,,,
Lorton,,,,
Cumberland.,,,
The Gins,,,,
Whitehaven,,,,
Cockermouth.,,,
Wigton,,,,
Solway Frith,,,,
Rothwell,,,,
Dumfries,,,
Lead-hills,,,,
Scotland,,,
Leßinabágow,,,
Lead-hills.,,,
Glaßgow:,,,
Whitehaven.,,,
Glaßgow,,,
Edinburgh,,,
Mußßelbourgh,,,,
Dunbar,,,,
