id	year	month	day	protocol_number	X_record_type	maakond	kihelkond	vald	number_of_characters	Added geom info_MNIMI	Added geom info_MKOOD	Added geom info_xcoord	Added geom info_ycoord
"17143"	"1884"	"8"	"31"	"198"	Kahjutasu	Tartu	Võnnu	Ahja	"671"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"18516"	"1886"	"6"	"27"	"110"	Kahjutasu	Tartu	Võnnu	Ahja	"427"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"17148"	"1884"	"9"	"7"	"203"	Töö- ja teenistussuhted	Tartu	Võnnu	Ahja	"735"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"17151"	"1884"	"9"	"21"	"206"	Sõim ja vägivald	Tartu	Võnnu	Ahja	"667"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"18517"	"1886"	"7"	"11"	"111"	Kahjutasu	Tartu	Võnnu	Ahja	"763"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"19130"	"1868"	"9"	"18"	"33"	Varavastased kuriteod	Järva	Peetri	Väike-Kareda	"561"	Järva maakond	"0052"	593186.001737898	6531205.81501648
"19207"	"1866"	"9"	"12"	"47"	"Sõim ja vägivald; Varavastased kuriteod"	Võru	Räpina	Kahkva	"1154"	Võru maakond	"0087"	680247.817063047	6408135.79838293
"17164"	"1871"	"2"	"12"	"14"	Perekonna- ja pärimisasjad	Tartu	Torma	Avinurme	"598"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"18518"	"1886"	"7"	"11"	"112"	"Varalised tehingud; Laenud ja võlanõuded"	Tartu	Võnnu	Ahja	"2488"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"18765"	"1886"	"12"	"12"	"192"	Töö- ja teenistussuhted	Tartu	Võnnu	Ahja	"852"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"19132"	"1868"	"9"	"21"	"34"	Määratlemata	Järva	Peetri	Väike-Kareda	"114"	Järva maakond	"0052"	593186.001737898	6531205.81501648
"19236"	"1892"	"7"	"17"	"24"	"Maade ja hoonete rentimine, mõõtmine ja pärandamine. Ehitamine. Suhted mõisa ja kroonuga."	Viljandi	Põltsamaa	Adavere	"681"	Viljandi maakond	"0084"	590879.425873858	6467185.68687056
"17165"	"1871"	"2"	"12"	"15"	Perekonna- ja pärimisasjad	Tartu	Torma	Avinurme	"606"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"17166"	"1871"	"2"	"12"	"16"	"Maade ja hoonete rentimine, mõõtmine ja pärandamine. Ehitamine. Suhted mõisa ja kroonuga."	Tartu	Torma	Avinurme	"751"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"17154"	"1884"	"9"	"21"	"208"	Töö- ja teenistussuhted	Tartu	Võnnu	Ahja	"817"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"18804"	"1909"	"4"	"9"	"4"	"Perekonna- ja pärimisasjad; Varalised tehingud; Laenud ja võlanõuded"	Tartu	Kambja	Vana-Prangli	"2116"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
