id	year	month	day	protocol_number	X_record_type	maakond	kihelkond	vald	number_of_characters	Added geom info_MNIMI	Added geom info_MKOOD	Added geom info_xcoord	Added geom info_ycoord
"18500"	"1889"	"2"	"13"	2-3	Varalised tehingud	Järva	Türi	Väätsa	"1567"	Järva maakond	"0052"	593186.001737898	6531205.81501648
"18957"	"1887"	"7"	"3"	"59"	"Kahjutasu; Varavastased kuriteod"	Tartu	Võnnu	Ahja	"339"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"20810"	"1870"	"4"	"1"	"24"	Varavastased kuriteod	Järva	Anna	Purdi	"110"	Järva maakond	"0052"	593186.001737898	6531205.81501648
"18490"	"1883"	"2"	"18"	"4"	NULL	Harju	Kose	Palvere	"1476"	Harju maakond	"0037"	552544.478068711	6574865.89298244
"17075"	"1882"	"2"	"19"	"30"	Varavastased kuriteod	Võru	Vastseliina	Misso	"900"	Võru maakond	"0087"	680247.817063047	6408135.79838293
"17400"	"1887"	"12"	"18"	"15"	Laenud ja võlanõuded	Järva	Türi	Väätsa	"639"	Järva maakond	"0052"	593186.001737898	6531205.81501648
"17015"	"1862"	"2"	"24"	"7"	NULL	Saare	Kihelkonna	Kotlandi	"101"	Saare maakond	"0074"	415113.808163332	6473268.50586371
"24053"	"1875"	"11"	"17"	"31"	NULL	Lääne	Ridala	Sinalepa	"35"	Lääne maakond	"0056"	486443.618506618	6537219.88707708
"17753"	"1867"	"10"	"9"		Kahjutasu	Pärnu	Pärnu-Elisabethi	Sauga	"2537"	Pärnu maakond	"0068"	527920.617616871	6476344.04590085
"17950"	"1863"	"11"	"9"	"38"	Laenud ja võlanõuded	Saare	Kihelkonna	Kotlandi	"410"	Saare maakond	"0074"	415113.808163332	6473268.50586371
"17016"	"1862"	"3"	"10"	"8"	NULL	Saare	Kihelkonna	Kotlandi	"101"	Saare maakond	"0074"	415113.808163332	6473268.50586371
"18798"	"1865"	"7"	"24"	"25"	"Perekonna- ja pärimisasjad; Maade ja hoonete rentimine, mõõtmine ja pärandamine. Ehitamine. Suhted mõisa ja kroonuga."	Saare	Kihelkonna	Kotlandi	"824"	Saare maakond	"0074"	415113.808163332	6473268.50586371
