id	year	month	day	protocol_number	X_record_type	maakond	kihelkond	vald	number_of_characters
10143	1870	6	4	18	Kahjutasu	Harju	Kose	Triigi	735
8605	1881	1	3	1	Sõim ja vägivald	Harju	Juuru	Kaiu	2448
8617	1854	3	1	17	NULL	Viljandi	Põltsamaa	Uue-Põltsamaa	1136
8620	1854	3	5	18	NULL	Viljandi	Põltsamaa	Uue-Põltsamaa	1063
8679	1881	6	25	15	Muud üleastumised	Harju	Juuru	Kaiu	792
8656	1880	3	6		Varalised tehingud; Laenud ja võlanõuded	Viru	Iisaku	Pootsiku	702
8684	1885	5	21	117	Varavastased kuriteod	Tartu	Otepää	Pühajärve	427
8621	1881	6	20	13	Sõim ja vägivald	Harju	Juuru	Kaiu	1164
8622	1854	3	9	19	Laenud ja võlanõuded	Viljandi	Põltsamaa	Uue-Põltsamaa	763
9165	1885	10	18	86	Kahjutasu	Võru	Vastseliina	Misso	512
9371	1855	4	25		NULL	Viljandi	Põltsamaa	Uue-Põltsamaa	351
1403	1889	5	13	6	Vallakohtu asjaajamine ja haldustoimingud 	Harju	Hageri	Kohila	29
10142	1870	5	22		NULL	Harju	Kose	Triigi	308
8680	1881	6	25	16	Töö- ja teenistussuhted	Harju	Juuru	Kaiu	189
20720	1871	10	25	20	Kahjutasu; Varavastased kuriteod	Harju	Juuru	Juuru	1195
9166	1882	12	17		Suhted kõrgemate kohtutega. Kriminaalasjade algatamine. 	Järva	Türi	Särevere	218
8660	1833	6	17		Perekonna- ja pärimisasjad	Viljandi	Paistu	Holstre	996
12825	1894	3	28	31	Varalised tehingud	Lääne	Kullamaa	Piirsalu	535
1404	1889	6	3	7	Vallakohtu asjaajamine ja haldustoimingud 	Harju	Hageri	Kohila	29
9580	1863	10	18		NULL	Tartu	Võnnu	Kriimani	1261
9372	1879	10	15	36	NULL	Viru	Haljala	Vihula	141
9167	1882	12	17		Vallakohtu asjaajamine ja haldustoimingud 	Järva	Türi	Särevere	143
9303	1887	7	20		Maade ja hoonete rentimine, mõõtmine ja pärandamine. Ehitamine. Suhted mõisa ja kroonuga.	Lääne	Kullamaa	Piirsalu	502
8649	1832	12	30		Perekonna- ja pärimisasjad	Viljandi	Paistu	Holstre	333
8661	1833	7	29		Töö- ja teenistussuhted	Viljandi	Paistu	Holstre	392
9373	1855	4	25		NULL	Viljandi	Põltsamaa	Uue-Põltsamaa	155
9509	1874	1	11	4	NULL	Tartu	Kursi	Puurmani	355
9545	1885	6	4	127	Töö- ja teenistussuhted	Tartu	Otepää	Pühajärve	933
8639	1881	6	20	14	Muud üleastumised	Harju	Juuru	Kaiu	1110
8651	1833	1	28		Varavastased kuriteod	Viljandi	Paistu	Holstre	198
9168	1883	4	4		Vallakohtu asjaajamine ja haldustoimingud 	Järva	Türi	Särevere	143
8662	1833	7	29		Maade ja hoonete rentimine, mõõtmine ja pärandamine. Ehitamine. Suhted mõisa ja kroonuga.	Viljandi	Paistu	Holstre	458
8397	1877	10	11	33	NULL	Võru	Rõuge	Saaluse	579
9374	1879	10	22	37	NULL	Viru	Haljala	Vihula	140
16640	1885	12	2	15-42	Varalised tehingud	Järva	Türi	Väätsa	1554
9551	1880	10	13	34	NULL	Viru	Haljala	Vihula	139
8642	1832	7	16		Laenud ja võlanõuded	Viljandi	Paistu	Holstre	791
8647	1880	3	6		Laenud ja võlanõuded	Viru	Iisaku	Pootsiku	715
8643	1867	10	20	211	NULL	Tartu	Kambja	Haaslava	1906
8658	1880	3	6		Laenud ja võlanõuded	Viru	Iisaku	Pootsiku	273
9169	1883	5	10		Vallakohtu asjaajamine ja haldustoimingud 	Järva	Türi	Särevere	140
20721	1871	11	8	21	Vallakohtu asjaajamine ja haldustoimingud 	Harju	Juuru	Juuru	258
7993	1880	1	17		Kahjutasu	Viru	Iisaku	Pootsiku	669
21319	1874	11	21	15	Kahjutasu	Harju	Kose	Triigi	560
8646	1885	3	7	31	Maade ja hoonete rentimine, mõõtmine ja pärandamine. Ehitamine. Suhted mõisa ja kroonuga.	Pärnu	Tori	Sindi	597
9170	1883	6	13		Vallakohtu asjaajamine ja haldustoimingud 	Järva	Türi	Särevere	142
