id	year	month	day	protocol_number	X_record_type	maakond	kihelkond	vald	number_of_characters	Added geom info_KOOD	Added geom info_MAAKOND	Added geom info_KUBERMANG	Added geom info_xcoord	Added geom info_ycoord
"12103"	"1885"	"10"	"18"	"255"	Perekonna- ja pärimisasjad	Pärnu	Halliste	Penuja	"315"	d97110	Pärnu	Liivimaa	578199.541828338	6447181.72644882
"12685"	"1849"	"5"	"13"		Varavastased kuriteod	Tartu	Kodavere	Ranna	"808"	d97138	Tartu	Liivimaa	678443.700571749	6499694.4408131
"13248"	"1856"	"11"	"23"	"93"	Töö- ja teenistussuhted	Tartu	Kodavere	Alatskivi	"570"	d97138	Tartu	Liivimaa	678443.700571749	6499694.4408131
"12104"	"1874"	"3"	"8"	"31"	NULL	Tartu	Kursi	Puurmani	"187"	d97144	Tartu	Liivimaa	633749.653824002	6491672.86998366
"19351"	"1867"	"8"	"9"	"25"	Varavastased kuriteod	Viljandi	Viljandi	Karula	"1650"	d97202	Viljandi	Liivimaa	586900.072654607	6470796.09598224
"11555"	"1871"	"7"	"1"		NULL	Harju	Kose	Triigi	"289"	d97142	Harju	Eestimaa	571852.864726451	6559021.0883687
"12008"	"1869"	"3"	"21"	"1"	Varavastased kuriteod	Järva	Järva-Jaani	Einmanni	"407"	d97119	Järva	Eestimaa	609854.595864574	6547460.4743589
"9124"	"1827"	"5"	"6"		NULL	Tartu	Rõngu	Aakre	"8379"	d97179	Tartu	Liivimaa	631479.266685926	6444153.29787797
"11005"	"1842"	"2"	"8"	"48"	Varavastased kuriteod	Tartu	Kodavere	Ranna	"68"	d97138	Tartu	Liivimaa	678443.700571749	6499694.4408131
"12687"	"1849"	"10"	"28"		Sõim ja vägivald	Tartu	Kodavere	Ranna	"375"	d97138	Tartu	Liivimaa	678443.700571749	6499694.4408131
"11951"	"1866"	"1"	"25"		"Maade ja hoonete rentimine, mõõtmine ja pärandamine. Ehitamine. Suhted mõisa ja kroonuga."	Võru	Räpina	Räpina	"1492"	d97174	Võru	Liivimaa	699441.264460731	6445131.29728697
"11959"	"1888"	"5"	"10"	"36"	Laenud ja võlanõuded	Harju	Kuusalu	Kolga	"226"	d97145	Harju	Eestimaa	589207.411134544	6594831.67850229
"12105"	"1880"	"11"	"22"		Määratlemata	Lääne	Martna	Martna	"536"	d97152	Haapsalu	Eestimaa	492335.303597346	6521392.22820013
"12009"	"1869"	"3"	"21"	"2"	Suhted kõrgemate kohtutega. Kriminaalasjade algatamine. 	Järva	Järva-Jaani	Einmanni	"286"	d97119	Järva	Eestimaa	609854.595864574	6547460.4743589
