id	year	month	day	protocol_number	X_record_type	maakond	kihelkond	vald	number_of_characters	Added geom info_KOOD	Added geom info_MAAKOND	Added geom info_KUBERMANG	Added geom info_xcoord	Added geom info_ycoord
"19953"	"1877"	"2"	"10"	"2"	Vallakohtu asjaajamine ja haldustoimingud 	Lääne	Kullamaa	Käända	"247"	d97143	Haapsalu	Eestimaa	506039.527501306	6531894.26532655
"12019"	"1871"	"8"	"5"	"22"	Sõim ja vägivald	Harju	Kose	Triigi	"1159"	d97142	Harju	Eestimaa	571852.864726451	6559021.0883687
"12022"	"1871"	"8"	"5"	"24"	Sõim ja vägivald	Harju	Kose	Triigi	"445"	d97142	Harju	Eestimaa	571852.864726451	6559021.0883687
"580"	"1856"	"3"	"3"	"8"	Perekonna- ja pärimisasjad	Tartu	Kodavere	Alatskivi	"7083"	d97138	Tartu	Liivimaa	678443.700571749	6499694.4408131
"13151"	"1876"	"7"	"13"	"66"	Sõim ja vägivald	Tartu	Võnnu	Ahja	"1647"	d97205	Tartu	Liivimaa	682511.042098504	6463190.48213771
"12025"	"1878"	"3"	"17"	"1"	"Riiklikud, kiriklikud ja kogukondlikud koormised; Töö- ja teenistussuhted"	Harju	Kose	Triigi	"902"	d97142	Harju	Eestimaa	571852.864726451	6559021.0883687
"12906"	"1856"	"8"	"24"	"58"	"Sõim ja vägivald; Kahjutasu"	Tartu	Kodavere	Alatskivi	"1032"	d97138	Tartu	Liivimaa	678443.700571749	6499694.4408131
"12573"	"1876"	"6"	"18"		Sõim ja vägivald	Tartu	Kodavere	Alatskivi	"539"	d97138	Tartu	Liivimaa	678443.700571749	6499694.4408131
"13081"	"1880"	"12"	"4"	"563"	Perekonna- ja pärimisasjad	Tartu	Kodavere	Alatskivi	"969"	d97138	Tartu	Liivimaa	678443.700571749	6499694.4408131
"12028"	"1880"	"2"	"7"	"1"	Töö- ja teenistussuhted	Harju	Kose	Triigi	"881"	d97142	Harju	Eestimaa	571852.864726451	6559021.0883687
