"Aasta","Maakond","Kursused","Keskeriharidus","Kutseharidus","Kõrgharidus"
"2016","Võru maakond",15,27,1,100
"2017","Harju maakond",45,21,0,215
"2017","Hiiu maakond",5,5,1,16
"2017","Ida-Viru maakond",5,6,0,36
"2017","Jõgeva maakond",7,5,0,14
"2017","Järva maakond",11,6,0,27
"2017","Lääne maakond",10,11,0,36
"2017","Lääne-Viru maakond",20,39,0,74
"2017","Põlva maakond",8,13,0,32
"2017","Pärnu maakond",25,18,0,72
"2017","Rapla maakond",11,18,1,56
"2017","Saare maakond",12,29,3,85
"2017","Tartu maakond",11,26,0,108
"2017","Valga maakond",2,2,0,9
"2017","Viljandi maakond",13,21,0,46
"2017","Võru maakond",17,38,3,136
"2018","Harju maakond",45,21,0,216
"2018","Hiiu maakond",5,4,1,14
"2018","Ida-Viru maakond",5,6,0,35
"2018","Jõgeva maakond",7,5,0,15
"2018","Järva maakond",8,4,0,19
"2018","Lääne maakond",8,11,0,28
"2018","Lääne-Viru maakond",18,38,0,69
"2018","Põlva maakond",4,10,0,26
"2018","Pärnu maakond",26,16,0,69
"2018","Rapla maakond",11,18,1,56
"2018","Saare maakond",12,29,3,83
"2018","Tartu maakond",11,25,0,110
"2018","Valga maakond",2,1,0,8
"2018","Viljandi maakond",13,21,0,46
"2018","Võru maakond",18,39,3,137
"2019","Harju maakond",41,20,0,205
"2019","Hiiu maakond",5,4,1,15
"2019","Ida-Viru maakond",5,6,0,33
"2019","Jõgeva maakond",5,5,0,14
"2019","Järva maakond",11,4,0,16
"2019","Lääne maakond",8,11,0,29
"2019","Lääne-Viru maakond",18,33,0,62
"2019","Põlva maakond",3,10,0,26
"2019","Pärnu maakond",24,15,0,66
"2019","Rapla maakond",14,20,1,54
"2019","Saare maakond",12,22,2,67
"2019","Tartu maakond",12,23,0,106
"2019","Valga maakond",2,1,0,9
"2019","Viljandi maakond",12,21,0,44
"2019","Võru maakond",18,39,3,133
