Aasta;Maakond;Juhendaja_haridus;Arv
2015;Tartu maakond;Kõrgharidus;108
2015;Valga maakond;Kõrgharidus;7
2015;Viljandi maakond;Kõrgharidus;38
2015;Võru maakond;Kõrgharidus;94
2016;Harju maakond;Kõrgharidus;196
2016;Hiiu maakond;Kõrgharidus;18
2016;Ida-Viru maakond;Kõrgharidus;12
2016;Jõgeva maakond;Kõrgharidus;15
2016;Järva maakond;Kõrgharidus;25
2016;Lääne maakond;Kõrgharidus;36
2016;Lääne-Viru maakond;Kõrgharidus;62
2016;Põlva maakond;Kõrgharidus;32
2016;Pärnu maakond;Kõrgharidus;66
2016;Rapla maakond;Kõrgharidus;56
2016;Saare maakond;Kõrgharidus;37
2016;Tartu maakond;Kõrgharidus;106
2016;Valga maakond;Kõrgharidus;7
2016;Viljandi maakond;Kõrgharidus;37
2016;Võru maakond;Kõrgharidus;100
2017;Harju maakond;Kõrgharidus;215
2017;Hiiu maakond;Kõrgharidus;16
2017;Ida-Viru maakond;Kõrgharidus;36
2017;Jõgeva maakond;Kõrgharidus;14
2017;Järva maakond;Kõrgharidus;27
2017;Lääne maakond;Kõrgharidus;36
2017;Lääne-Viru maakond;Kõrgharidus;74
2017;Põlva maakond;Kõrgharidus;32
2017;Pärnu maakond;Kõrgharidus;72
2017;Rapla maakond;Kõrgharidus;56
2017;Saare maakond;Kõrgharidus;85
2017;Tartu maakond;Kõrgharidus;108
2017;Valga maakond;Kõrgharidus;9
2017;Viljandi maakond;Kõrgharidus;46
2017;Võru maakond;Kõrgharidus;136
2018;Harju maakond;Kõrgharidus;216
2018;Hiiu maakond;Kõrgharidus;14
2018;Ida-Viru maakond;Kõrgharidus;35
2018;Jõgeva maakond;Kõrgharidus;15
2018;Järva maakond;Kõrgharidus;19
2018;Lääne maakond;Kõrgharidus;28
2018;Lääne-Viru maakond;Kõrgharidus;69
2018;Põlva maakond;Kõrgharidus;26
2018;Pärnu maakond;Kõrgharidus;69
2018;Rapla maakond;Kõrgharidus;56
2018;Saare maakond;Kõrgharidus;83
2018;Tartu maakond;Kõrgharidus;110
2018;Valga maakond;Kõrgharidus;8
2018;Viljandi maakond;Kõrgharidus;46
2018;Võru maakond;Kõrgharidus;137
2019;Harju maakond;Kõrgharidus;205
2019;Hiiu maakond;Kõrgharidus;15
2019;Ida-Viru maakond;Kõrgharidus;33
2019;Jõgeva maakond;Kõrgharidus;14
2019;Järva maakond;Kõrgharidus;16
2019;Lääne maakond;Kõrgharidus;29
2019;Lääne-Viru maakond;Kõrgharidus;62
2019;Põlva maakond;Kõrgharidus;26
2019;Pärnu maakond;Kõrgharidus;66
2019;Rapla maakond;Kõrgharidus;54
2019;Saare maakond;Kõrgharidus;67
2019;Tartu maakond;Kõrgharidus;106
2019;Valga maakond;Kõrgharidus;9
2019;Viljandi maakond;Kõrgharidus;44
2019;Võru maakond;Kõrgharidus;133
