Aasta;Maakond;Juhendaja_haridus;Arv
2018;Harju maakond;Kursused;45
2018;Hiiu maakond;Kursused;5
2018;Ida-Viru maakond;Kursused;5
2018;Jõgeva maakond;Kursused;7
2018;Järva maakond;Kursused;8
2018;Lääne maakond;Kursused;8
2018;Lääne-Viru maakond;Kursused;18
2018;Põlva maakond;Kursused;4
2018;Pärnu maakond;Kursused;26
2018;Rapla maakond;Kursused;11
2018;Saare maakond;Kursused;12
2018;Tartu maakond;Kursused;11
2018;Valga maakond;Kursused;2
2018;Viljandi maakond;Kursused;13
2018;Võru maakond;Kursused;18
2019;Harju maakond;Kursused;41
2019;Hiiu maakond;Kursused;5
2019;Ida-Viru maakond;Kursused;5
2019;Jõgeva maakond;Kursused;5
2019;Järva maakond;Kursused;11
2019;Lääne maakond;Kursused;8
2019;Lääne-Viru maakond;Kursused;18
2019;Põlva maakond;Kursused;3
2019;Pärnu maakond;Kursused;24
2019;Rapla maakond;Kursused;14
2019;Saare maakond;Kursused;12
2019;Tartu maakond;Kursused;12
2019;Valga maakond;Kursused;2
2019;Viljandi maakond;Kursused;12
2019;Võru maakond;Kursused;18
2008;Harju maakond;Keskeriharidus;5
2008;Hiiu maakond;Keskeriharidus;8
2008;Ida-Viru maakond;Keskeriharidus;5
2008;Jõgeva maakond;Keskeriharidus;5
2008;Järva maakond;Keskeriharidus;5
2008;Lääne maakond;Keskeriharidus;7
2008;Lääne-Viru maakond;Keskeriharidus;39
2008;Põlva maakond;Keskeriharidus;14
2008;Pärnu maakond;Keskeriharidus;20
2008;Rapla maakond;Keskeriharidus;17
2008;Saare maakond;Keskeriharidus;5
2008;Tartu maakond;Keskeriharidus;40
2008;Valga maakond;Keskeriharidus;1
2008;Viljandi maakond;Keskeriharidus;21
2008;Võru maakond;Keskeriharidus;31
2009;Harju maakond;Keskeriharidus;9
2009;Hiiu maakond;Keskeriharidus;9
2009;Ida-Viru maakond;Keskeriharidus;6
2009;Jõgeva maakond;Keskeriharidus;7
2009;Järva maakond;Keskeriharidus;4
2009;Lääne maakond;Keskeriharidus;9
2009;Lääne-Viru maakond;Keskeriharidus;39
2009;Põlva maakond;Keskeriharidus;13
2009;Pärnu maakond;Keskeriharidus;21
2009;Rapla maakond;Keskeriharidus;17
2009;Saare maakond;Keskeriharidus;9
2009;Tartu maakond;Keskeriharidus;31
2009;Valga maakond;Keskeriharidus;0
2009;Viljandi maakond;Keskeriharidus;19
