"Aasta","Maakond","Tulud riigieelarvest","Tulud kohaliku omavalitsuse eelarvest","Kulud kokku","Tööjõukulud","Komplekteerimiskulud","Investeeringud põhivarasse"
"2005","Ida-Viru maakond",348.99,1635.69,2004.65,1002.56,465.39,116.51
"2005","Jõgeva maakond",104.78,482.97,596.07,299.64,168.91,13.74
"2005","Järva maakond",104.66,550.75,661.12,359.70,165.93,2.11
"2005","Lääne maakond",93.27,376.98,475.78,220.49,130.22,30.10
"2005","Lääne-Viru maakond",209.99,917.92,1124.41,533.86,293.83,97.72
"2005","Põlva maakond",139.10,667.88,808.96,299.37,187.75,154.22
"2005","Pärnu maakond",198.85,970.21,1187.24,547.65,349.23,61.55
"2005","Rapla maakond",128.53,574.37,708.46,338.80,181.70,26.20
"2005","Saare maakond",111.87,540.09,658.70,294.43,148.97,16.30
"2005","Tartu maakond",267.13,1774.06,2112.17,1084.18,420.45,167.64
"2005","Valga maakond",100.53,400.82,484.80,224.52,142.90,21.15
"2005","Viljandi maakond",173.92,867.62,1063.46,472.52,240.32,69.47
"2005","Võru maakond",133.36,627.22,766.05,382.62,172.55,53.43
"2006","Harju maakond",583.09,3902.67,4584.59,2073.83,1038.26,335.34
"2006","..Tallinn",329.91,2161.61,2593.50,1170.70,549.70,280.83
"2006","Hiiu maakond",29.13,170.38,204.46,107.61,45.77,12.65
"2006","Ida-Viru maakond",344.53,1788.04,2118.34,1139.46,485.93,65.13
"2006","Jõgeva maakond",149.09,558.24,715.41,335.80,177.42,76.76
"2006","Järva maakond",103.88,622.61,736.24,382.52,166.98,0.00
"2006","Lääne maakond",151.01,352.52,508.64,260.88,122.49,32.02
"2006","Lääne-Viru maakond",179.53,1162.24,1340.32,627.96,312.69,128.91
"2006","Põlva maakond",128.51,658.98,810.66,343.59,200.05,61.16
"2006","Pärnu maakond",210.91,1064.29,1367.93,624.35,355.41,150.51
"2006","Rapla maakond",113.19,648.19,767.45,367.30,191.77,29.46
"2006","Saare maakond",105.87,628.93,742.88,323.73,153.04,8.12
"2006","Tartu maakond",298.52,1821.70,2162.51,1159.00,443.09,139.71
"2006","Valga maakond",101.19,461.51,541.53,250.18,144.75,38.86
"2006","Viljandi maakond",142.04,880.43,1032.41,532.88,254.02,13.29
"2006","Võru maakond",114.25,621.59,741.70,416.71,178.80,0.00
"2007","Harju maakond",644.24,5441.87,6205.57,2450.93,1181.08,1426.70
"2007","..Tallinn",380.20,2804.93,3312.08,1373.54,631.23,638.48
"2007","Hiiu maakond",65.27,256.15,323.00,121.62,48.07,116.96
"2007","Ida-Viru maakond",355.58,2147.79,2548.81,1354.58,513.89,162.85
"2007","Jõgeva maakond",192.87,639.63,917.32,401.52,184.74,47.68
"2007","Järva maakond",110.73,793.76,917.75,472.01,178.31,65.32
"2007","Lääne maakond",209.41,483.28,696.16,317.53,135.84,126.48
"2007","Lääne-Viru maakond",191.24,1402.66,1598.20,771.00,333.59,198.89
"2007","Põlva maakond",353.40,717.74,1126.62,393.29,202.15,340.33
"2007","Pärnu maakond",223.37,1210.44,1434.45,741.69,374.97,46.91
"2007","Rapla maakond",147.57,884.79,1033.83,444.57,207.27,176.27
"2007","Saare maakond",170.11,690.90,863.70,374.23,158.81,93.57
"2007","Tartu maakond",376.10,2255.54,2689.45,1309.27,474.77,408.14
"2007","Valga maakond",191.26,536.79,683.39,296.52,158.13,77.14
"2007","Viljandi maakond",145.62,1055.17,1210.48,645.64,261.76,6.90
"2007","Võru maakond",120.31,705.05,841.63,476.21,187.40,9.52
"2008","Harju maakond",693.77,8093.30,8915.24,2892.66,1230.31,2387.23
"2008","..Tallinn",415.55,3850.68,4386.93,1609.86,640.25,1201.99
"2008","Hiiu maakond",33.37,200.68,234.94,132.38,53.94,4.15
"2008","Ida-Viru maakond",369.06,2375.62,2667.37,1641.51,525.13,82.96
"2008","Jõgeva maakond",184.35,689.96,958.99,467.97,195.60,4.73
"2008","Järva maakond",154.82,840.73,1019.34,559.90,175.90,48.96
"2008","Lääne maakond",247.45,692.67,938.93,364.34,139.67,297.70
"2008","Lääne-Viru maakond",182.15,1439.69,1624.30,936.71,349.23,36.30
"2008","Põlva maakond",148.89,1718.06,1961.39,464.25,214.55,1040.48
"2008","Pärnu maakond",224.41,1521.35,1751.19,848.64,383.36,90.18
"2008","Rapla maakond",125.97,1091.55,1222.25,540.88,227.62,241.46
"2008","Saare maakond",131.98,694.73,830.61,446.80,168.57,48.64
"2008","Tartu maakond",296.42,2728.47,3039.11,1496.11,489.60,617.64
"2008","Valga maakond",150.94,628.39,785.06,360.74,156.16,140.09
"2008","Viljandi maakond",173.99,1112.83,1309.47,739.82,285.92,9.52
"2008","Võru maakond",131.03,790.74,930.06,543.34,197.03,25.82
"2009","Harju maakond",540.14,4885.05,5548.57,2985.54,1070.56,61.48
"2009","..Tallinn",313.83,2658.26,3097.84,1669.53,556.17,11.31
"2009","Hiiu maakond",29.21,159.52,190.09,124.53,34.31,2.43
"2009","Ida-Viru maakond",280.67,2521.58,2825.74,1598.16,432.81,320.13
"2009","Jõgeva maakond",141.55,629.64,849.90,451.73,164.25,0.00
"2009","Järva maakond",95.12,685.42,803.29,483.87,138.05,2.05
"2009","Lääne maakond",86.51,490.70,580.52,336.52,118.36,1.09
"2009","Lääne-Viru maakond",140.09,1372.57,1513.75,921.41,297.84,32.66
"2009","Põlva maakond",85.97,796.44,1209.94,472.81,191.19,345.51
"2009","Pärnu maakond",575.74,1277.91,1929.34,815.71,311.70,415.30
"2009","Rapla maakond",94.91,918.79,1659.02,510.97,210.14,760.68
"2009","Saare maakond",129.72,630.07,762.89,420.56,138.27,30.49
"2009","Tartu maakond",244.37,1998.80,2286.75,1393.42,412.03,33.94
"2009","Valga maakond",90.46,588.56,955.19,356.67,133.89,352.86
"2009","Viljandi maakond",174.21,1052.47,1250.72,712.54,228.75,55.09
"2009","Võru maakond",106.30,753.60,867.13,515.26,169.90,48.96
"2010","Harju maakond",537.62,4222.99,4923.89,2773.54,967.29,54.90
"2010","..Tallinn",317.38,2193.46,2648.19,1532.61,498.30,11.44
"2010","Hiiu maakond",24.71,158.37,186.44,114.95,37.45,1.21
"2010","Ida-Viru maakond",280.15,2195.82,2489.41,1376.84,399.35,258.91
"2010","Jõgeva maakond",136.63,578.05,1174.54,392.26,147.67,391.01
"2010","Järva maakond",98.22,615.09,741.26,412.64,122.00,10.99
"2010","Lääne maakond",80.72,449.36,531.77,320.10,104.65,1.73
"2010","Lääne-Viru maakond",138.51,1382.17,1770.41,857.13,243.40,375.99
"2010","Põlva maakond",83.32,767.72,853.20,451.45,183.07,30.55
"2010","Pärnu maakond",240.15,1435.67,1742.90,798.97,308.32,225.29
"2010","Rapla maakond",93.69,987.47,1082.31,509.50,190.07,203.43
"2010","Saare maakond",90.63,588.92,685.10,414.70,133.42,10.23
"2010","Tartu maakond",235.20,1883.75,2174.32,1379.85,400.47,18.92
"2010","Valga maakond",86.65,497.71,576.94,340.86,119.96,3.20
"2010","Viljandi maakond",117.23,964.50,1106.09,642.52,205.88,17.96
"2010","Võru maakond",96.74,689.49,796.63,499.47,159.74,0.00
"2011","Harju maakond",595.83,4359.99,5093.37,2810.20,976.81,34.45
"2011","..Tallinn",367.70,2227.70,2730.20,1549.20,510.30,15.80
"2011","Hiiu maakond",24.46,167.54,194.97,111.95,37.83,12.94
"2011","Ida-Viru maakond",275.39,1904.07,2193.44,1360.30,394.61,39.50
"2011","Jõgeva maakond",135.10,579.07,793.94,429.74,147.78,11.43
"2011","Järva maakond",87.85,576.69,700.34,408.71,119.74,12.48
"2011","Lääne maakond",84.79,475.61,571.60,324.75,110.00,3.53
"2011","Lääne-Viru maakond",135.79,1214.76,1339.96,832.45,242.89,4.86
