koht	pealkiri	aasta	žanr
Aegviidu (Harjumaa)	Maran	2018	Dokumentaalfilm, Portreefilm
Aegviidu (Harjumaa)	Konnade tee	2015	Dokumentaalfilm, Loodusfilm
Aegviidu (Harjumaa)	Kuumad naised vabast tahtest	2013	Dokumentaalfilm, Olukirjeldusfilm
Aegviidu (Harjumaa)	Laulutuli	1990	Muusikafilm
Aegviidu (Harjumaa)	Aegviidu lahendamata probleemidest	1986	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Aegviidu (Harjumaa)	Loodus: kaitse, kasutamine	1985	Populaarteaduslik film
Aegviidu (Harjumaa)	Harrastuskunstnik Roman Salukivi	1971	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Aegviidu (Harjumaa)	Aegviidu metsamajandis	1968	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Aegviidu (Harjumaa)	Talispordilaager	1968	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Aegviidu (Harjumaa)	RAMETO auhinna jagamine	1966	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Aegviidu vaated (Harjumaa)	Suvi 64-65	1965	Amatöörfilm
Aegviidu vaated (Harjumaa)	Mitmesugust IV	1951	Amatöörfilm
Aegviidu vaated (Harjumaa)	Huvirongiga mööda kodumaad	1935	Filmikroonika, Kroonikafilmid 1912-1940 I pool
Aesoo (Pärnumaa)	UDA-AU	1980	Dokumentaalfilm
Afganistan	Hüvasti, NSVL	2020	Mängufilm, Täispikk mängufilm
Afganistan	Afganistan. Vangis ja vabaduses	2019	Dokumentaalfilm
Afganistan	Sõda	2017	Dokumentaalfilm
Afganistan	Afganistani projekt	2015	Dokumentaalfilm, Olukirjeldusfilm
Afganistan	Veregrupp	2013	Dokumentaalfilm, Tudengifilm
Afganistan	Charikari tüdrukud	2011	Dokumentaalfilm
Afganistan	Kutse	2005	Dokumentaalfilm, Portreefilm
Afganistan	Valge tee	2003	Dokumentaalfilm, Probleemfilm
Afganistan	Igavesti noored	1988	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Afganistan	Gaasi- ja naftajuhtmete ehitamine	1979	Tellimusfilm, Muud liigitused
Agadir (Maroko)	Maroko, Agadir...	1981	Amatöörfilm, Kroonika
Agani jõe bassein (Lääne-Siber)	Juri Vella maailm	2003	Dokumentaalfilm, Antropoloogiafilm
Agani jõe bassein (Lääne-Siber)	Toorumi pojad	1989	Dokumentaalfilm, Antropoloogiafilm
Agani jõe bassein (Lääne-Siber)	Kaleva hääled	1986	Dokumentaalfilm
Ahja (Põlvamaa)	Friedebert Tuglas 1886-1986	1986	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Ahja (Põlvamaa)	Rändaja	1986	Dokumentaalfilm, Portreefilm
Ahja (Põlvamaa)	Valgemetsa pioneerilaagrist ja selle majandusjuhatajast Mare Tudelepast	1981	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Ahja (Põlvamaa)	Nääribuss Ahjal	1971	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Ahja (Põlvamaa)	Kombainerite võistlus	1954	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Ahja (Põlvamaa)	Ahja keskkooli mitšuurinlased	1952	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Ahja (Põlvamaa)	Noored mitšuurinlased	1949	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Ahja jõgi	Minu Eestimaa	2005	Dokumentaalfilm, Vaatefilm
Ahja jõgi	TRÜ looduskaitseringi 25. aastapäeva tähistamine Taevaskojas	1983	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Ahja jõgi	Valgemetsa pioneerilaagrist ja selle majandusjuhatajast Mare Tudelepast	1981	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Ahja jõgi	Saesaare hüdroelektrijaama muuseum ja Taevaskoda	1978	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Ahja jõgi	Matkaradadel	1959	Dokumentaalfilm
Ahja jõgi	Meie kodumaa	1957	Dokumentaalfilm
Ahja jõgi	Ahja keskkooli mitšuurinlased	1952	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Ahja jõgi	Kolhoosi hüdroelektrijaama ehitusel	1951	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Ahtme (Ida-Virumaa)	Küte	2021	Dokumentaalfilm, Muud liigitused, Eksperimentaalfilm
Ahtme (Ida-Virumaa)	Eesti NSV ehitusmaterjalitööstus	1983	Populaarteaduslik film, Õppefilm, Tellimusfilm, Muud liigitused
Ahtme (Ida-Virumaa)	Taassünd	1973	Dokumentaalfilm, Loodusfilm, Probleemfilm, Populaarteaduslik film, Muud liigitused, Tellimusfilm
Ahtme (Ida-Virumaa)	Ahtme ehitusmaterjalide kombinaadis	1971	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Ahtme (Ida-Virumaa)	Eesti NSV 1967	1967	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Ahtme (Ida-Virumaa)	Eesti Energia	1965	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Ahtme (Ida-Virumaa)	Eesti põlevkivi	1965	Dokumentaalfilm
Ahtme (Ida-Virumaa)	10 minutit Eestis	1964	Dokumentaalfilm, Olukirjeldusfilm
Ahtme (Ida-Virumaa)	Fidel ja Victoria Fizullajev	1964	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Ahtme (Ida-Virumaa)	Uus põlevkivikaevandus	1964	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Ahvenamaa	Merest sündinud maa	2010	Muud liigitused, Tellimusfilm
Ahvenamaa	Mees metsast ja mere äärest. Skulptor Jüri Ojaver	2009	Dokumentaalfilm, Portreefilm
Ahvenamaa	Reis kerge pagasiga	2006	Dokumentaalfilm
Ahvenamaa	Purjetamismatk Soome saarestikku	1976	Amatöörfilm, Kroonika
Ahvenamaa	Perekond 17	1967	Amatöörfilm, Kroonika
Aia tänav (Tallinn)	Lünk	1988	Dokumentaalfilm, Vaatefilm
Aia tänav (Tallinn)	Kongressist kongressini	1966	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Aia tänav (Tallinn)	Ujujad treeningul	1941	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Aia tänav (Tallinn)	Liiklemise keerises	1939	Kroonikafilmid 1912-1940 I pool, Filmikroonika
Aia tänav (Tartu)	E.V. President K. Päts külaskäigul Tartus	1939	Filmikroonika, Kroonikafilmid 1912-1940 I pool
Aida tänav (Tallinn)	Arheoloogilised kaevamised Eesti NSV Riikliku Noorsooteatri tulevasel ehitusplatsil Tallinnas Aida tänaval	1983	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Aida tänav (Tallinn)	Tallinna vanalinn	1965	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Aida tänav (Tallinn)	Talve	1933	Dokumentaalfilm, Vaatefilm
Aidu (Jõgevamaa) 	Monument	2008	Dokumentaalfilm
Aidu (Jõgevamaa) 	Eesti nägusaim maakodu	1971	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Aidu-Nurme (Ida-Virumaa)	Eestimaa reostatud loodus	1988	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Akadeemia tee (Tallinn)	Tulekahju	1968	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Akadeemia tee (Tallinn)	Suveniir Eestist	1967	Dokumentaalfilm
Akadeemia tee (Tallinn)	Mustamäe	1966	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Akadeemia tee (Tallinn)	Üliõpilaste tee	1963	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Aksi saar (Harjumaa)	Viimsi saared	2011	Dokumentaalfilm, Vaatefilm
Aksi saar (Harjumaa)	Põgenemine	1991	Dokumentaalfilm
Aksi saar (Harjumaa)	Randlased	1990	Dokumentaalfilm, Muud liigitused, Tellimusfilm
