koht	pealkiri	aasta	žanr
Kiviõli (Ida-Virumaa)	Igale maitsele	1979	Dokumentaalfilm, Probleemfilm
Kiviõli (Ida-Virumaa)	50 aastat Eesti põlevkivitööstust	1972	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kiviõli (Ida-Virumaa)	Kiviõli Põlevkivikeemiatehases	1969	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kiviõli (Ida-Virumaa)	Eesti NSV 1967	1967	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kiviõli (Ida-Virumaa)	Eesti põlevkivi	1965	Dokumentaalfilm
Kiviõli rajoon	Lühidalt kõigest	1956	Kroonikafilmid 1940 II pool-1991, Filmikroonika
Kiviõli rajoon	Ettevalmistused maisikülviks	1955	Kroonikafilmid 1940 II pool-1991, Filmikroonika
Kiviõli tuhamäed (Ida-Virumaa)	Täitsa lõpp	2011	Mängufilm, Täispikk mängufilm
Kiviõli tuhamäed (Ida-Virumaa)	Šurale	1990	Dokumentaalfilm, Portreefilm
Kiviõli tuhamäed (Ida-Virumaa)	Virumaa	1940	Filmikroonika, Kroonikafilmid 1912-1940 I pool
Kiviõli tuhamäed (Ida-Virumaa)	Põlevkivi ja põlevkiviõli tootmine	1938	Dokumentaalfilm, Olukirjeldusfilm
Klaipeda (Leedu)	Puudutus	2009	Tudengifilm, Dokumentaalfilm
Klaipeda (Leedu)	Hitler & Stalin 1939	1989	Dokumentaalfilm
Kljutševskaja vulkaan (Venemaa)	Geisrite ja vulkaanide maal	1961	Dokumentaalfilm, Loodusfilm, Muud liigitused, Tellimusfilm
Kljutševskaja vulkaan (Venemaa)	Ekspeditsioon Kamtšatkale	1960	Dokumentaalfilm
Klooga (Harjumaa)	Vanad kalad	2010	Dokumentaalfilm
Klooga (Harjumaa)	Su nimi olgu Iisrael	2004	Dokumentaalfilm
Klooga (Harjumaa)	Impeeriumi jäljed: Mehhaaniline reostus	1994	Dokumentaalfilm, Probleemfilm, Muud liigitused, Tellimusfilm
Klooga (Harjumaa)	Südame kutsel	1986	Dokumentaalfilm, Tellimusfilm, Muud liigitused
Klooga (Harjumaa)	Rahu eest	1985	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Klooga (Harjumaa)	Vabastuse tund	1969	Dokumentaalfilm
Klooga (Harjumaa)	Sõjaveteranid	1966	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Klooga (Harjumaa)	Suures Isamaasõjas saavutatud võidu 20. aastapäev	1965	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Klooga (Harjumaa)	Suvituskohad	1963	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Klooga (Harjumaa)	Noorus filmis. Keskkoolilõpetajad	1960	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Klooga rand (Harjumaa)	Teesklejad	2016	Mängufilm, Täispikk mängufilm
Klooga rand (Harjumaa)	Aedniku suvi	1980	Dokumentaalfilm, Olukirjeldusfilm
Klooga rand (Harjumaa)	Ilu argipäev	1965	Dokumentaalfilm, Olukirjeldusfilm
Klooga rand (Harjumaa)	Suvi 64-65	1965	Amatöörfilm
Kloostri küla (Lihula, Läänemaa)	Heinz Valk	2014	Dokumentaalfilm, Portreefilm
Kloostrimetsa (Tallinn)	Turbokelk!	2013	Mängufilm, Amatöörfilm
Kloostrimetsa (Tallinn)	Riigivanem I	1991	Dokumentaalfilm
Kloostrimetsa (Tallinn)	Eesti rattameeskond Sõpruse velotuuril	1988	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kloostrimetsa (Tallinn)	Ringrada	1984	Dokumentaalfilm
Kloostrimetsa (Tallinn)	314 meetrit televisiooni	1980	Dokumentaalfilm
Kloostrimetsa (Tallinn)	Oskar Saviku orhideed Tallinnas	1964	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kloostrimetsa (Tallinn)	Sport. Rahvusvahelised võistlused mootorrattaspordis	1963	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kloostrimetsa (Tallinn)	NSVL esivõistlused autospordis	1962	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kloostrimetsa (Tallinn)	Sport. Mootorispordi esivõistlused	1959	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kloostrimetsa (Tallinn)	T.T. Pirital 1940	1940	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kobela (Võrumaa)	Alevimaastikud	1985	Probleemfilm, Dokumentaalfilm
Kobela (Võrumaa)	Esimehed	1980	Dokumentaalfilm
Kobela (Võrumaa)	Torupill	1976	Kontsertfilm, Muusikafilm
Kodavere (Pala vald, Jõgevamaa)	Tallinna raamatuklubi Tõru	1983	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kodila (Raplamaa)	Spe Fretus - lootusele tuginedes	2008	Dokumentaalfilm, Portreefilm
Kodulinna õu (Tallinn)	Aga kus me täna mängime?	1982	Dokumentaalfilm
Koeru (Järvamaa)	Õllerevolutsioon	2016	Dokumentaalfilm
Koeru (Järvamaa)	Bussi juures	2004	Dokumentaalfilm, Probleemfilm
Koeru (Järvamaa)	Kodupinnale tulek. Kalju Lepik 70	1990	Dokumentaalfilm, Portreefilm
Koeru (Järvamaa)	Kaleva hääled	1986	Dokumentaalfilm
Koeru (Järvamaa)	Koeru kõrts	1964	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Koeru (Järvamaa)	Koerus avati kultuurimaja	1958	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kogalõm (Venemaa)	Hääled	1996	Dokumentaalfilm
Kogrejärv (Võrumaa)	Karula rahvuspark	2005	Dokumentaalfilm, Loodusfilm, Vaatefilm
Koguva (Muhumaa)	Maailm nagu muster	1996	Dokumentaalfilm
Koguva (Muhumaa)	Isand ja ori	1992	Dokumentaalfilm, Probleemfilm
Koguva (Muhumaa)	Kiviaid	1988	Dokumentaalfilm
Koguva (Muhumaa)	Ilus on maa	1984	Dokumentaalfilm, Vaatefilm
Koguva (Muhumaa)	ENSV rahvakirjaniku Juhan Smuuli 60. sünniaastapäevale pühendatud näitus Tallinna Kunstihoones	1982	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Koguva (Muhumaa)	Koguva Vabaõhumuuseum	1982	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Koguva (Muhumaa)	Kalur Laine Tüür	1981	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Koguva (Muhumaa)	Praam-jäälõhkuja Koguva	1980	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Koguva (Muhumaa)	Linnutee tuuled	1977	Dokumentaalfilm, Antropoloogiafilm
Koguva (Muhumaa)	Vene NFSV kirjanduse ja kunsti päevad Eesti NSV-s	1977	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kohila (Raplamaa)	Moest väljas	2015	Dokumentaalfilm
Kohila (Raplamaa)	Monument	2008	Dokumentaalfilm
Kohila (Raplamaa)	Putukas ja Mõmmi	2007	Dokumentaalfilm, Olukirjeldusfilm
Kohila (Raplamaa)	Lugu eesti paberist	1992	Dokumentaalfilm
Kohila (Raplamaa)	Noorte juhtimiseksperiment Rapla rajooni Kohila sovhoosis	1986	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kohila (Raplamaa)	Loodus ja inimene	1967	Dokumentaalfilm, Probleemfilm
Kohila (Raplamaa)	Medal Andrus Keskkülale	1967	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kohila (Raplamaa)	Visa töö vili	1963	Dokumentaalfilm
Kohila (Raplamaa)	Sovhooside mehhanisaatorid Kohilas	1961	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kohila (Raplamaa)	Mitmesugust III	1951	Amatöörfilm
Kohtla (Kohtla-Järve)	Lenini nim Kohtla-Järve Põlevkivitöötlemise Kombinaadis	1975	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kohtla (Kohtla-Järve)	Viisaastak ennetähtaegselt	1975	Dokumentaalfilm, Olukirjeldusfilm
Kohtla (Kohtla-Järve)	Taassünd	1973	Dokumentaalfilm, Loodusfilm, Probleemfilm, Populaarteaduslik film, Muud liigitused, Tellimusfilm
Kohtla (Kohtla-Järve)	Kaevanduses nr 10	1959	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kohtla (Kohtla-Järve)	Mineraalvatitehas lasti käiku	1959	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kohtla (Kohtla-Järve)	Eesti NSV 11. aastapäeva auks	1951	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kohtla (Kohtla-Järve)	Ehitame kiirvoolumeetodil	1949	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kohtla-Järve (Ida-Virumaa)	Küte	2021	Dokumentaalfilm, Muud liigitused, Eksperimentaalfilm
Kohtla-Järve (Ida-Virumaa)	Hearth	2019	Tudengifilm, Dokumentaalfilm
Kohtla-Järve (Ida-Virumaa)	Ema	2016	Mängufilm, Täispikk mängufilm
Kohtla-Järve (Ida-Virumaa)	ID	2004	Dokumentaalfilm, Probleemfilm
Kohtla-Järve (Ida-Virumaa)	Põlev kivi	1991	Populaarteaduslik film, Tellimusfilm, Muud liigitused
Kohtla-Järve (Ida-Virumaa)	Sinine ja must ja valge	1991	Dokumentaalfilm
Kohtla-Järve (Ida-Virumaa)	Kohtla-Järve föderatsioonimeelsete kokkutulek	1990	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kohtla-Järve (Ida-Virumaa)	Minu Virumaa	1989	Dokumentaalfilm
Kohtla-Järve (Ida-Virumaa)	Varastatud kohtumine	1988	Mängufilm, Täispikk mängufilm
Kohtla-Järve (Ida-Virumaa)	Oktoobrirevolutsiooni 70. aastapäev	1987	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kohtla-Järve rajoon	Rändaja	1986	Dokumentaalfilm, Portreefilm
Kohtla-Järve rajoon	Defitsiit	1985	Dokumentaalfilm, Probleemfilm
Kohtla-Järve rajoon	Loodus: kaitse, kasutamine	1985	Populaarteaduslik film
Kohtla-Järve rajoon	Ühe päeva kohtumised	1985	Dokumentaalfilm
Kohtla-Järve rajoon	Noorim vabariiklikest lüpsivõistlustest osavõtnu, Kohtla-Järve rajooni Illuka 8-kl kooli õpilane Maire Viita	1983	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kohtla-Järve rajoon	Nõukogude Eesti	1982	Dokumentaalfilm
Kohtla-Järve rajoon	Mereäärne rahvas	1980	Dokumentaalfilm
Kohtla-Järve rajoon	Liitmineraalväetisetehase I järgu käikulaskmine	1979	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kohtla-Järve rajoon	Taassünd	1973	Dokumentaalfilm, Loodusfilm, Probleemfilm, Populaarteaduslik film, Muud liigitused, Tellimusfilm
Kohtla-Järve rajoon	Päev keemiata	1972	Dokumentaalfilm
Kohtla-Järve Sotsialistlik linnaosa	Mehhaniseerimine ja automatiseerimine Eesti NSV põlevkivibasseinis	1957	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kohtla-Järve Sotsialistlik linnaosa	Kaevurite päevaks	1956	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kohtla-Järve üldvaade	Linn põlevatel kividel	1979	Dokumentaalfilm
Kohtla-Järve üldvaade	Põlevkivi ja põlevkiviõli tootmine	1938	Dokumentaalfilm, Olukirjeldusfilm
Kohtla-Nõmme (Ida-Virumaa)	Regilaul - laulud õhust	2011	Dokumentaalfilm, Muusikadokumentaal
Kohtla-Nõmme (Ida-Virumaa)	Loodus: kaitse, kasutamine	1985	Populaarteaduslik film
Kohtla-Nõmme (Ida-Virumaa)	Hüpe esimesest sordist kolmandasse	1956	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kohtla-Nõmme (Ida-Virumaa)	Kohtla-Nõmme uus kultuurimaja	1953	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kohtu tänav (Tallinn)	Ringreis Eestis mais 1937	1937	Amatöörfilm, Kroonika
Kohtu tänava vaateplatvorm (Tallinn)	6 tundi	2005	Dokumentaalfilm, Vaatefilm
Kohtu tänava vaateplatvorm (Tallinn)	Ilus on maa	1984	Dokumentaalfilm, Vaatefilm
Kohtu tänava vaateplatvorm (Tallinn)	Kunstnik Heinrich Valk	1973	Dokumentaalfilm, Portreefilm
Kohtu tänava vaateplatvorm (Tallinn)	Tallinn kunstis	1965	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kohtu tänava vaateplatvorm (Tallinn)	Filminäitleja Otto Gebühr Tallinnas	1937	Kroonikafilmid 1912-1940 I pool, Filmikroonika
kohvik Komfek (Pärnu Kuninga 24) sisehoov	Terapeut	2015	Dokumentaalfilm, Portreefilm
Koidu tänav (Tallinn)	Kirjanikuga voodis	2019	Dokumentaalfilm
Koidu tänav (Tallinn)	Vaeste kirjanike maja	2012	Olukirjeldusfilm, Dokumentaalfilm
Koidu tänav (Tallinn)	Draakoni aasta	1988	Dokumentaalfilm
Koidu tänav (Tallinn)	Kes on süüdi? Kommunaalprobleemid	1956	Kroonikafilmid 1940 II pool-1991, Filmikroonika
Koidu tänav (Tallinn)	Tallinn ehitab	1952	Kroonikafilmid 1940 II pool-1991, Filmikroonika
Koidula küla (Põlvamaa)	Uus päev luuakse idakaares	2008	Dokumentaalfilm, Olukirjeldusfilm
Koidula park (Pärnu)	Pärnu	1968	Dokumentaalfilm, Vaatefilm
Koidula park (Pärnu)	Suurmeistrite maleturniir Pärnus	1947	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Koidula park (Pärnu)	Ühendatud segakoorid esitavad Pärnu laulupeol E. Paigalise „Isamaa“	1939	Kroonikafilmid 1912-1940 I pool, Filmikroonika
Koidula park (Pärnu)	Ringreis Eestis mais 1937	1937	Amatöörfilm, Kroonika
Koidula park (Pärnu)	Eesti Raamat. Pildistusi eesti kirjanduse neljasaja-aastaselt arenguteelt	1936	Dokumentaalfilm
Koidula tänav (Tallinn)	Amontillado	2009	Tudengifilm, Lühimängufilm
Koidula tänav (Tallinn)	Noored tennisistid	1952	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Koigi (Järvamaa)	Paide rajooni Koigi 8-klassilise kooli direktor Arvo Kangas	1983	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Koipsi saar	Randlased	1990	Dokumentaalfilm, Muud liigitused, Tellimusfilm
Koitjärve (Harjumaa)	Armud jäänud, armud tulnud	2012	Dokumentaalfilm
Koitjärve (Harjumaa)	Sõda pärast sõda	2002	Dokumentaalfilm
Koitjärve (Harjumaa)	A. H. Tammsaare III	1974	Populaarteaduslik film, Õppefilm
Koitjärve (Harjumaa)	V. I. Lenini nim Pioneeriorganisatsiooni 50. aastapäev	1972	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Koitjärve (Harjumaa)	Pioneerilaagris	1949	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Koitjärve (Harjumaa)	Noorte pioneeride esimesed rühmad	1940	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Koitjärve (Harjumaa)	N.M.K.Ü. laagris Koitjärvel	1938	Kroonikafilmid 1912-1940 I pool, Filmikroonika
Koitjärve (Harjumaa)	Askeldusi Koitjärve poistelaagris	1937	Filmikroonika, Kroonikafilmid 1912-1940 I pool
Koitjärve (Rootsi)	Koitjärve laagri asutamisest 20 aastat	1980	Amatöörfilm, Kroonika
Koitjärve (Rootsi)	Eesti Skautlike Noorte Rootsis 5. suurlaager "Põhjala"	1964	Amatöörfilm, Kroonika
Koitjärve (Rootsi)	Kroonika 3	1964	Amatöörfilm, Kroonika
Koitjärve (Rootsi)	Maailmalaager „Põhjala“ 26.07.1964	1964	Amatöörfilm, Kroonika
Koitjärve (Rootsi)	Juubelipidustused Metsakodus 23.06.1962	1962	Amatöörfilm, Kroonika
Koiva jõgi (Läti)	Mitmesugust IV	1951	Amatöörfilm
Kokemäe (Võrumaa)	Orel	1974	Dokumentaalfilm
Kokkola (Soome)	Maria paradiis	2019	Mängufilm, Täispikk mängufilm
Kolga (Harjumaa)	Tulivesi	1994	Mängufilm, Täispikk mängufilm
Kolga (Harjumaa)	Lagunevad mõisahooned	1968	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kolga (Harjumaa)	Ringreis Eestis mais 1937	1937	Amatöörfilm, Kroonika
Kolga laht (Harjumaa)	Regilaul - laulud õhust	2011	Dokumentaalfilm, Muusikadokumentaal
Kolga laht (Harjumaa)	Läänemeri	1972	Populaarteaduslik film, Õppefilm
Kolga-Aabla (Harjumaa)	Unistus jäätisest ja limonaadist	2017	Dokumentaalfilm, Portreefilm
Kolga-Jaani (Viljandimaa)	Side lõpp	2011	Dokumentaalfilm
Kolga-Jaani (Viljandimaa)	Kodu-käija	2010	Dokumentaalfilm, Portreefilm
Kolga-Jaani (Viljandimaa)	Ausammas Villem Reimanile	1988	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kolga-Jaani (Viljandimaa)	Otsin head inimest	1986	Dokumentaalfilm, Probleemfilm
Kolga-Jaani (Viljandimaa)	Künnimehe väsimus	1982	Dokumentaalfilm, Probleemfilm
Kolga-Jaani (Viljandimaa)	Pühapäevamaalijad	1979	Dokumentaalfilm
Kolga-Jaani (Viljandimaa)	Jaan Tõnisson Villem Reimani surma-aastapäeval esinemas	1937	Filmikroonika, Kroonikafilmid 1912-1940 I pool
Kolgaküla (Harjumaa)	Sea aasta	2021	Dokumentaalfilm
Kolmården (Rootsi)	Tuttavad 6 (kirjanikud)	1980	Amatöörfilm
Kolmården (Rootsi)	Uibopuudega Kolmårdenis ja Norrköpingis 1979	1979	Amatöörfilm, Kroonika
Kolmården (Rootsi)	Perekond 36	1975	Amatöörfilm, Kroonika
Kolmården (Rootsi)	Perekond 30	1972	Amatöörfilm, Kroonika
Kolomna (Venemaa)	Briljandid proletariaadi diktatuurile, I jagu	1975	Mängufilm, Täispikk mängufilm
Kolomna (Venemaa)	Briljandid proletariaadi diktatuurile, II jagu	1975	Mängufilm, Täispikk mängufilm
Kolumbia	Räägi ära	2021	Dokumentaalfilm
Kolumbia	Üht kaotust igavesti kandsin	2020	Dokumentaalfilm
Kolumbia	Kutse	2005	Dokumentaalfilm, Portreefilm
Koluvere (Läänemaa)	Minu sõber	1962	Telemängufilm, Lühitelemängufilm
Komandandi aed (Tallinn)	Eduard Vilde nimeline Tallinna Pedagoogiline Instituut	1984	Dokumentaalfilm, Olukirjeldusfilm
Komandandi aed (Tallinn)	Vigursõit vanalinnas	1983	Dokumentaalfilm, Vaatefilm
Kongo Demokraatlik Vabariik	Näeme Tšetšeenias	2015	Dokumentaalfilm, Probleemfilm
Kongo küla (Põhja-Ghana, Aafrika)	Eesti küla Ghanas	2016	Dokumentaalfilm
Kongo küla (Põhja-Ghana, Aafrika)	Päike on hea laps	2014	Dokumentaalfilm
Konguta (Tartumaa)	Monument	2008	Dokumentaalfilm
Konguta (Tartumaa)	Konguta sovhoosi tööveteran traktorist Aleksander Kuku	1984	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Konovere jõgi (Raplamaa)	Sõda pärast sõda	2002	Dokumentaalfilm
Koolimäe ( Lääne-Virumaa, Vihula vald)	Katja	2007	Dokumentaalfilm, Portreefilm
Kooraste (Põlvamaa)	Savikodu	2007	Dokumentaalfilm
Koorküla (Valgamaa)	Maipõrnikate hävitamine	1956	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kopenhaagen (Taani)	Enam kui elu	2018	Dokumentaalfilm, Portreefilm
Kopenhaagen (Taani)	Minu spioonist isa	2018	Dokumentaalfilm
Kopenhaagen (Taani)	Need, kes julgevad	2015	Dokumentaalfilm
Kopenhaagen (Taani)	Hitler & Stalin 1939	1989	Dokumentaalfilm
Kopenhaagen (Taani)	Meremeeste maa	1982	Dokumentaalfilm
Kopenhaagen (Taani)	Kohtumised Kopenhaagenis	1956	Dokumentaalfilm
Kopenhaagen (Taani)	Perekond 40	1975	Amatöörfilm, Kroonika
Kopenhaagen (Taani)	Stockholmi Eesti Meeskoor	1971	Amatöörfilm, Kroonika
Kopenhaagen (Taani)	Lundi reis 1965	1965	Amatöörfilm, Kroonika
Kopenhaagen (Taani)	Lundis 1	1965	Amatöörfilm, Kroonika
Kopenhaagen (Taani)	Eduard Vilde	1961	Dokumentaalfilm, Portreefilm
Kopli (Tallinn)	Mänguväljak	2021	Tudengifilm, Dokumentaalfilm
Kopli (Tallinn)	Jagada või mitte jagada	2019	Dokumentaalfilm
Kopli (Tallinn)	Kopli liinid. Võõrustab viimane kupleelaulja	2019	Mängufilm, Lühimängufilm, Dokumentaalfilm, Portreefilm, Muud liigitused, Eksperimentaalfilm
Kopli (Tallinn)	Katk	2017	Dokumentaalfilm, Probleemfilm
Kopli (Tallinn)	Täideviija	2017	Dokumentaalfilm, Portreefilm
Kopli (Tallinn)	Kahe maailma vahel	2014	Dokumentaalfilm, Portreefilm, Tudengifilm
Kopli (Tallinn)	Velosoofid	2013	Dokumentaalfilm, Olukirjeldusfilm
Kopli (Tallinn)	Armud jäänud, armud tulnud	2012	Dokumentaalfilm
Kopli (Tallinn)	Linnatundra	2011	Dokumentaalfilm, Tudengifilm
Kopli (Tallinn)	Trammiliini sümfoonia	2010	Tudengifilm, Harjutusfilm (dokumentaalne)
Kopli poolsaar (Tallinn)	Tallinn pimeduses	1993	Mängufilm, Täispikk mängufilm
Kopli poolsaar (Tallinn)	Automatiseeritakse sulatusahje	1962	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kopli poolsaar (Tallinn)	Tulekahi Koplis	1935	Kroonikafilmid 1912-1940 I pool, Filmikroonika
Korneti (Läti)	Inemiste piir	2005	Dokumentaalfilm, Olukirjeldusfilm
Korsika (Prantsusmaa)	Ott Tänak - The Movie	2019	Dokumentaalfilm, Portreefilm
Koruste küla (Tartumaa)	Aleksander Läte matused	1948	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Korva luht (Valgamaa)	Linn ja maa	1973	Dokumentaalfilm
Korva luht (Valgamaa)	Polderkuivendus	1963	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kose (Harjumaa)	Kõige ilusam päev	2015	Mängufilm, Lühimängufilm
Kose (Harjumaa)	Kümme isamaa kõnet	2007	Dokumentaalfilm, Portreefilm
Kose (Harjumaa)	Spordimehed - rahvamehed	1985	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kose (Harjumaa)	Uus teraviljahoidla J. Lauristini nim kolhoosis	1980	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kose (Harjumaa)	Tagasitulek	1965	Dokumentaalfilm
Kose (Harjumaa)	NSVL Ülemnõukogu valimised	1958	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kose (Harjumaa)	Seatalitaja Rosalie Pajus	1957	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kose (Harjumaa)	Ždanovi nimelises kolhoosis	1956	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kose (Harjumaa)	Kandidaat Üleliidulisele Põllumajandusnäitusele	1952	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kose (Harjumaa)	Elu tsitadellis	1947	Mängufilm, Täispikk mängufilm
Kose rajoon	Söötade sileerimine Edu kolhoosis	1959	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kose rajoon	Reportaaž vabariigi kolhoosidest	1956	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kose rajoon	Üliõpilased kolhoositööl	1956	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kose rajoon	Kolhoosi linnufarm	1955	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kose rajoon	Üleliidulisest põllumajandusnäitusest osavõtjate autasustamine	1955	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kose rajoon	Piimakarja kasvatus Eesti NSV-s	1954	Dokumentaalfilm, Tellimusfilm, Muud liigitused
Kose rajoon	Kolhoosipõldudel	1952	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kose-Lükati (Tallinn)	Vabariigi meistrivõistlused motokrossis	1961	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kose-Lükati (Tallinn)	Soome pioneerid Kose-Lükatil	1958	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kose-Lükati (Tallinn)	Sanatoorses Metsakoolis	1949	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kose-Lükati (Tallinn)	Reportaaž. Kose-Lükati pioneerilaagris	1960	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kose-Lükati (Tallinn)	Motokross	1959	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kose-Lükati (Tallinn)	Noorus filmis. Kose-Lükati pioneerilaager	1958	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kose-Lükati (Tallinn)	Spordireportaaž: lauatennis, uisutamine, motokross	1958	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kose-Lükati (Tallinn)	Võimlemispidustused Stockholmis. Konstantin Pätsi Vabaõhukool	1949	Amatöörfilm, Kroonika
Kose-Lükati (Tallinn)	Noored suvekodus	1938	Kroonikafilmid 1912-1940 I pool, Filmikroonika
Kose-Lükati (Tallinn)	Noorte Kotkaste laager Pirita jõe ääres	1934	Filmikroonika, Kroonikafilmid 1912-1940 I pool
Kose-Uuuemõisa (Harjumaa)	Tööstuskasvatus Kose EPT lasteaias	1984	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kose-Uuuemõisa (Harjumaa)	Looduse suvekool õpetajatele	1975	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kose-Uuuemõisa (Harjumaa)	Kose koolkodus kasvatatakse küülikuid	1959	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kosmodemjansk (linn Marimaal)	Laulupidu Marimaal	2008	Tudengifilm, Dokumentaalfilm
Kostivere (Harjumaa)	Tulgu tuju taresse	1972	Muusikafilm
Kostivere (Harjumaa)	Gaasipliidid	1964	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kostivere (Harjumaa)	Uus silosäilitamise viis	1960	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kostivere (Harjumaa)	Lüpsja astub akadeemiasse	1959	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kostivere (Harjumaa)	Kostivere loomakasvatajad	1952	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kostivere (Harjumaa)	Tee tulevikku	1949	Dokumentaalfilm
Kostivere (Harjumaa)	2 000 000 liitrit piima aastas	1948	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kostivere (Harjumaa)	Laiendame külvipinda	1948	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kotka (Harjumaa)	Sangarid	2017	Mängufilm, Täispikk mängufilm
Kotka (Soome)	Merepäevad	1984	Dokumentaalfilm, Olukirjeldusfilm
Kotka (Soome)	Mis on Kotkas kõige parem?	1981	Dokumentaalfilm, Olukirjeldusfilm
Kotka (Soome)	V. I. Lenini mälestussamba avamine Kotkas	1979	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kotka (Soome)	Sõpruslinnad Tallinn - Kotka	1970	Dokumentaalfilm
Kotka (Soome)	Tallinn - Kotka sõpruspäevad	1970	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kotka (Soome)	Sõprusnädal Soomes	1967	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kotka (Soome)	Sõprusvõistlus	1966	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Kotkajärve (Kanada)	Perekond 47	1978	Amatöörfilm, Kroonika
Kotkajärve (Kanada)	Montreali Vikerlased ja skautide laagrid	1970	Amatöörfilm
Kotkajärve (Kanada)	Sinimustvalge lipu juubeli tähistamine, maailmalaager Kotkajärvel	1962	Amatöörfilm
